point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),L-Rel-0-points,L-Elevation,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X),R-Rel-0-points,R-Elevation
淡014,97,GPS,2776945.40100000000 ,296731.75100000000 ,43.19,9.45290557199 , GPS,2777849.74400000000 ,297156.45300000000 ,1042.29362348095 ,6.04736522874 
,67,轉換,2777149.25500000000 ,295901.04800000000 ,,, 轉換,2778053.64400000000 ,296325.73600000000 ,,
, 地籍,轉換,106001.38727272700 ,78660.46363636360 ,,, 轉換,106906.70000000000 ,79083.04909090910 ,,
淡015,97,GPS,2776778.49400000000 ,297441.07000000000 ,118.32,9.56274932434 , GPS,2777611.01000000000 ,297693.24600000000 ,988.19103942579 ,5.52232435976 
,67,轉換,2776982.35300000000 ,296610.35500000000 ,,, 轉換,2777814.90500000000 ,296862.51900000000 ,,
, 地籍,轉換,105836.10000000000 ,79370.04727272730 ,,, 轉換,106669.19818181800 ,79620.30909090910 ,,
淡016,97,GPS,2776598.99700000000 ,298158.54000000000 ,39.89,9.75149218910 , GPS,2777359.95500000000 ,298501.82900000000 ,874.69801103319 ,5.59486999707 
,67,轉換,2776802.85500000000 ,297327.81200000000 ,,, 轉換,2777563.84800000000 ,297671.08400000000 ,,
, 地籍,轉換,105658.23636363600 ,80087.80363636360 ,,, 轉換,106420.00727272700 ,80429.35090909090 ,,
淡017,97,GPS,2776438.23600000000 ,298645.09400000000 ,-96.55,9.65241485631 , GPS,2777150.55200000000 ,298956.66900000000 ,680.92865853743 ,6.07324399384 
,67,轉換,2776642.09100000000 ,297814.35800000000 ,,, 轉換,2777354.44500000000 ,298125.91100000000 ,,
, 地籍,轉換,105498.57636363600 ,80574.62909090910 ,,, 轉換,106211.64909090900 ,80884.60000000000 ,,
淡018,97,GPS,2776183.74900000000 ,299193.63100000000 ,-158.16,9.46957016903 , GPS,2776751.88100000000 ,299568.76800000000 ,522.64961963917 ,5.68114862813 
,67,轉換,2776387.60700000000 ,298362.88600000000 ,,, 轉換,2776955.77200000000 ,298737.99900000000 ,,
, 地籍,轉換,105245.30545454500 ,81123.61818181820 ,,, 轉換,105814.35454545500 ,81497.48181818180 ,,
淡019,97,GPS,2775973.82800000000 ,299538.84900000000 ,37.87,9.66441560830 , GPS,2776416.38000000000 ,299894.24100000000 ,605.45765522843 ,5.66131001718 
,67,轉換,2776177.68600000000 ,298708.10400000000 ,,, 轉換,2776620.26700000000 ,299063.47100000000 ,,
