point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),Rel-0-points,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X)
,67,轉換,"2,774,703.69","299,807.18",, 轉換,2774755.291,300382.937
, 地籍,轉換,"103,564.26","82,571.04",, 轉換,103617.044,83146.458
淡023,97,GPS,"2,773,972.98","300,804.00",-28.1, GPS,2774103.357,301324.378
,67,轉換,"2,774,176.85","299,973.33",, 轉換,2774307.234,300493.688
, 地籍,轉換,"103,037.71","82,738.29",, 轉換,103169.156,83258.162
淡024,97,GPS,"2,773,350.62","300,929.61",5.09, GPS,2773367.958,301326.92
,67,轉換,"2,773,554.50","300,098.96",, 轉換,2773571.848,300496.262
, 地籍,轉換,"102,415.59","82,865.30",, 轉換,102433.731,83262.438
淡024A,97,支距,"2,772,984.67","300,909.41",-0.31, 支距,2772916.924,301318.783
,67,轉換,"2,773,188.57","300,078.77",, 轉換,2773120.824,300488.132
, 地籍,轉換,"102,049.60","82,845.98",, 轉換,101982.678,83255.393
淡025,97,GPS,"2,772,854.73","300,874.11",26.67, 支距,2772751.201,301280.289
,67,轉換,"2,773,058.63","300,043.47",, 轉換,2772955.105,300449.639
, 地籍,轉換,"101,919.58","82,811.00",, 轉換,101816.882,83217.315
淡026,97,GPS,"2,772,380.71","300,661.96",4.94, GPS,2772098.313,301238.711
,67,轉換,"2,772,584.61","299,831.32",, 轉換,2772302.23,300408.058
, 地籍,轉換,"101,445.11","82,600.04",, 轉換,101163.929,83177.338
淡026-1,97,GPS,"2,772,236.10","300,547.37",0, GPS,2771818.809,301061.81
,67,轉換,"2,772,440.01","299,716.73",, 轉換,2772022.727,300231.156
, 地籍,轉換,"101,300.27","82,485.83",, 轉換,100884.082,83001.158
淡027,97,GPS,"2,772,014.50","300,293.33",38.4, GPS,2771568.165,300968.324
,67,轉換,"2,772,218.40","299,462.69",, 轉換,2771772.084,300137.666
, 地籍,轉換,"101,078.14","82,232.39",, 轉換,100633.262,82908.3
淡027A,97,GPS,"2,771,877.22","300,143.53",-0.03, 支距,2771404.163,300936.251
,67,轉換,"2,772,081.12","299,312.87",, 轉換,2771608.083,300105.589
, 地籍,轉換,"100,940.56","82,082.94",, 轉換,100469.204,82876.631
淡027A-1,97,GPS,"2,771,756.67","300,012.28",-0.01, GPS,2771066.953,300778.572
,67,轉換,"2,771,960.57","299,181.62",, 轉換,2771270.873,299947.901
, 地籍,轉換,"100,819.74","81,952.02",, 轉換,100131.68,82719.798
淡028,97,GPS,"2,771,646.95","299,893.15",51.4, 支距,2770884.217,300621.445
,67,轉換,"2,771,850.85","299,062.49",, 轉換,2771088.135,299790.769
, 地籍,轉換,"100,709.77","81,833.18",, 轉換,99948.622,82563.138
淡028-1,97,GPS,"2,771,389.55","299,612.65",-0.04, 支距,2770814.832,300548.418
,67,轉換,"2,771,593.44","298,781.97",, 轉換,2771018.749,299717.74
, 地籍,轉換,"100,451.78","81,553.36",, 轉換,99879.085,82490.291
淡028A,97,GPS,"2,771,554.16","299,791.69",-0.69, GPS,2770871.098,300587.698
,67,轉換,"2,771,758.05","298,961.01",, 轉換,2771075.016,299757.022
, 地籍,轉換,"100,616.76","81,731.96",, 轉換,99935.431,82529.429
淡029,97,支距,"2,771,334.67","299,553.48",91.68, 支距,2770459.545,300306.83
,67,轉換,"2,771,538.55","298,722.80",, 轉換,2770663.458,299476.14
, 地籍,轉換,"100,396.77","81,494.33",, 轉換,99523.327,82249.591
淡029-1,97,GPS,"2,771,149.29","299,350.80",-0.02, GPS,2770301.036,300157.454
,67,轉換,"2,771,353.17","298,520.11",, 轉換,2770504.947,299326.759
, 地籍,轉換,"100,210.98","81,292.12",, 轉換,99364.545,82100.576
淡030,97,GPS,"2,771,101.66","299,145.00",153.03, GPS,2770063.386,299544.024
,67,轉換,"2,771,305.53","298,314.30",, 轉換,2770267.281,298713.314
, 地籍,轉換,"100,162.90","81,086.47",, 轉換,99125.66,81487.704
淡031,97,GPS,"2,771,101.66","299,145.00",115.17, GPS,2769830.005,299104.076
,67,轉換,"2,771,305.53","298,314.30",, 轉換,2770033.891,298273.355
, 地籍,轉換,"100,162.90","81,086.47",, 轉換,98891.365,81048.351
淡031A,97,支距,"2,770,983.81","298,282.12",-0.05, 支距,2770049.662,298464.871
,67,轉換,"2,771,187.68","297,451.41",, 轉換,2770253.535,297634.147
, 地籍,轉換,"100,043.20","80,224.03",, 轉換,99109.507,80408.944
淡032,97,支距,"2,770,964.34","298,258.28",36.15, GPS,2770044.472,298443.712
,67,轉換,"2,771,168.21","297,427.58",, 轉換,2770248.344,297612.988
, 地籍,轉換,"100,023.69","80,200.24",, 轉換,99104.271,80387.802
淡033,97,GPS,"2,770,713.00","297,743.86",77.96, GPS,2770018.834,297992.975
,67,轉換,"2,770,916.86","296,913.15",, 轉換,2770222.7,297162.256
, 地籍,轉換,"99,771.27","79,686.52",, 轉換,99077.653,79937.216
淡034,97,GPS,"2,770,408.36","297,134.27",10.58, GPS,2769856.139,297390.415
,67,轉換,"2,770,612.22","296,303.56",, 轉換,2770060.001,296559.699
, 地籍,轉換,"99,465.29","79,077.77",, 轉換,98913.647,79335.149
