point,system,mode,Ordinate-N(Y),Abscissa-E(X),Rel-0-points
, 地籍, 轉換,99110.602,78547.865,
淡035A,97, 支距,2770053.508,296521.834,1.54
,67, 轉換,2770257.358,295691.105,
, 地籍, 轉換,99109.109,78466.264,
淡036,97, GPS,2769782.753,296133.048,13.25
,67, 轉換,2769986.595,295302.303,
, 地籍, 轉換,98837.607,78078.049,
淡036A,97, GPS,2769619.177,295865.289,7.68
,67, 轉換,2769823.013,295034.536,
, 地籍, 轉換,98673.48,77810.669,
淡037,97, GPS,2769265.863,295380.516,77.85
,67, 轉換,2769469.688,294549.768,
, 地籍, 轉換,98319.104,77326.789,
淡038,97, GPS,2768636.824,294751.826,90.97
,67, 轉換,2768840.626,293921.104,
, 地籍, 轉換,97688.689,76699.655,
淡039,97, GPS,2767908.469,294370.828,263.79
,67, 轉換,2768112.258,293540.145,
, 地籍, 轉換,96959.518,76320.451,
淡040,97, GPS,2767281.333,294153.159,120.7
,67, 轉換,2767485.128,293322.508,
, 地籍, 轉換,96331.911,76104.276,
淡041,97, GPS,2766503.476,294024.438,57.63
,67, 轉換,2766707.289,293193.824,
, 地籍, 轉換,95553.764,75977.438,
淡041A,97, GPS,2766421.17,294032.98,65.5
,67, 轉換,2766624.985,293202.368,
, 地籍, 轉換,95471.48,75986.167,
淡042,97, GPS,2765955.993,293977.414,212.02
,67, 轉換,2766159.819,293146.816,
, 地籍, 轉換,95006.191,75931.676,
淡043,97, GPS,2765615.112,293964.592,81.25
,67, 轉換,2765818.948,293134,
, 地籍, 轉換,94665.298,75919.649,
淡043A,97, GPS,2765367.585,293959.107,124.38
,67, 轉換,2765571.428,293128.519,
, 地籍, 轉換,94417.775,75914.731,
淡044,97, GPS,2765253.758,293956.733,66.73
,67, 轉換,2765457.605,293126.147,
, 地籍, 轉換,94303.953,75912.613,
淡045,97, GPS,2764604.75,293922.161,53.54
,67, 轉換,2764808.614,293091.587,
, 地籍, 轉換,93654.936,75879.516,
淡046,97, GPS,2764023.169,293686.272,327.35
,67, 轉換,2764227.035,292855.721,
, 地籍, 轉換,93072.844,75645.022,
淡047,97, GPS,2763665.542,293404.178,383.58
,67, 轉換,2763869.366,292573.671,
, 地籍, 轉換,92714.607,75363.807,
淡047A,97, 支距,2763645.377,293383.95,153.25
,67, 轉換,2763849.197,292553.447,
, 地籍, 轉換,92694.398,75343.629,
淡048,97, GPS,2763281.546,292998.957,299.03
,67, 轉換,2763485.204,292168.579,
, 地籍, 轉換,92329.729,74959.555,
淡049,97, GPS,2763006.998,292625.684,56.82
,67, 轉換,2763210.333,291795.535,
, 地籍, 轉換,92054.362,74586.993,
淡050,97, GPS,2762753.948,292227.607,450.28
,67, 轉換,2762957.365,291397.403,
, 地籍, 轉換,91800.329,74189.553,
淡051,97, GPS,2762529.113,291548.55,542.28
,67, 轉換,2762732.717,290718.222,
, 地籍, 轉換,91573.833,73511.111,
淡052,97, GPS,2762408.663,290588.123,451.55
,67, 轉換,2762612.42,289757.713,
, 地籍, 轉換,91451.115,72551.118,
淡053,97, GPS,2762400.096,290200.579,544.22
,67, 轉換,2762603.872,289370.165,
, 地籍, 轉換,91441.66,72163.655,
淡053A,97, 支距,2762287.705,289782.843,3.48
,67, 轉換,2762491.485,288952.441,
, 地籍, 轉換,91328.329,71746.225,
淡054,97, GPS,2762312.852,289411.013,195.98
,67, 轉換,2762516.613,288580.637,
, 地籍, 轉換,91352.633,71374.395,
淡055,97, GPS,2762103.073,288839.206,74.05
,67, 轉換,2762306.794,288008.891,
, 地籍, 轉換,91141.571,70803.133,
淡056,97, GPS,2761808.296,288369.124,26.14
,67, 轉換,2762011.998,287538.871,
, 地籍, 轉換,90845.745,70333.769,
淡057,97, GPS,2761456.715,287935.429,58.63
,67, 轉換,2761660.428,287105.225,
, 地籍, 轉換,90493.207,69900.913,
淡058,97, GPS,2761216.635,287377.537,-40.68
,67, 轉換,2761420.398,286547.295,
, 地籍, 轉換,90251.884,69343.633,
淡059,97, GPS,2761055.792,287275.584,66.31
,67, 轉換,2761259.566,286445.341,
, 地籍, 轉換,90090.824,69242.049,
淡060,97, GPS,2760957.989,287012.815,52.07
,67, 轉換,2761161.792,286182.53,
, 地籍, 轉換,89992.433,68979.536,
淡061,97, GPS,2760940.829,286458.197,79.65
,67, 轉換,2761144.66,285627.861,
, 地籍, 轉換,89974.018,68425.04,
淡062,97, GPS,2760398.464,286157.751,339.77
,67, 轉換,2760602.31,285327.405,
, 地籍, 轉換,89431.018,68125.844,
淡062A,97, 支距,2759802.802,285616.336,0.14
,67, 轉換,2760006.661,284785.981,
, 地籍, 轉換,88834.165,67585.856,
淡063,97, GPS,2759718.185,285542.58,389.15
,67, 轉換,2759922.046,284712.225,
, 地籍, 轉換,88749.382,67512.307,
淡064,97, GPS,2759187.787,285126.861,233.24
,67, 轉換,2759391.648,284296.515,
, 地籍, 轉換,88218.073,67097.849,
淡064A,97, GPS,2758644.633,284971.227,248.45
,67, 轉換,2758848.501,284140.879,
, 地籍, 轉換,87674.613,66943.46,
淡065,97, GPS,2758433.284,284712.388,158.79
,67, 轉換,2758637.153,283882.037,
, 地籍, 轉換,87462.687,66685.14,
淡066,97, GPS,2758075.91,284144.106,-54.18
,67, 轉換,2758279.78,283313.758,
, 地籍, 轉換,87104.073,66117.695,
淡067,97, GPS,2758268.589,283526.062,-9.13
,67, 轉換,2758472.444,282695.708,
, 地籍, 轉換,87295.338,65499.258,
淡068,97, GPS,2758557.363,282930.999,0
,67, 轉換,2758761.201,282100.661,
, 地籍, 轉換,87582.725,64903.633,
