new_x,elevation,ex_data,ny_data
0.0,20.02,291548.55,2762529.113
0.8400000000000318,19.82,291548.9023,2762528.3505
6.509999999999991,17.01,291551.2805,2762523.2033
6.550000000000068,16.9,291551.2973,2762523.167
7.810000000000059,16.89,291551.8258,2762522.0232
7.850000000000023,16.37,291551.8426,2762521.9869
8.840000000000032,16.35,291552.2578,2762521.0882
8.910000000000082,15.83,291552.2872,2762521.0246
9.910000000000082,15.8,291552.7066,2762520.1168
9.950000000000045,15.29,291552.7234,2762520.0805
18.690000000000055,15.22,291556.3892,2762512.1465
29.50999999999999,15.1,291560.9275,2762502.3242
40.210000000000036,14.98,291565.4154,2762492.6109
51.26999999999998,14.77,291570.0543,2762482.5707
61.09000000000003,14.54,291574.1732,2762473.6563
71.88,14.27,291578.6989,2762463.8612
75.12,14.18,291580.0578,2762460.92
75.81000000000006,14.21,291580.3472,2762460.2936
77.89999999999998,14.01,291581.2239,2762458.3964
82.10000000000002,13.96,291582.9855,2762454.5837
89.33000000000004,10.41,291586.018,2762448.0204
95.67000000000007,10.19,291588.6772,2762442.265
103.21000000000004,9.89,291591.8397,2762435.4203
106.64999999999998,10.13,291593.2826,2762432.2975
117.72000000000003,10.51,291597.9257,2762422.2483
123.95000000000005,11.11,291600.5388,2762416.5928
129.38,11.57,291602.8163,2762411.6635
131.39,11.68,291603.6593,2762409.8388
138.89999999999998,11.77,291606.8093,2762403.0213
147.44000000000005,11.51,291610.3912,2762395.2688
151.75,11.15,291612.199,2762391.3563
154.45000000000005,11.01,291613.3315,2762388.9053
160.99,10.44,291616.0746,2762382.9683
165.41000000000008,9.61,291617.9285,2762378.9559
171.72000000000003,8.52,291620.5751,2762373.2278
180.20000000000005,8.46,291624.1319,2762365.5297
181.95000000000005,7.75,291624.8659,2762363.9411
184.82000000000005,7.14,291626.0697,2762361.3358
190.51,6.82,291628.4562,2762356.1704
197.23000000000002,6.67,291631.2748,2762350.0701
205.16000000000008,6.58,291634.6009,2762342.8714
213.47000000000003,6.66,291638.0864,2762335.3276
222.42000000000007,6.76,291641.8404,2762327.2029
230.64999999999998,6.85,291645.2923,2762319.7319
238.96000000000004,7.01,291648.7778,2762312.1881
248.91000000000008,6.97,291652.9511,2762303.1557
259.30000000000007,6.9,291657.3091,2762293.7238
269.01,7.07,291661.3818,2762284.9091
279.45000000000005,7.18,291665.7606,2762275.4318
285.72,7.12,291668.3905,2762269.74
287.72,7.34,291669.2294,2762267.9244
294.62,7.43,291672.1234,2762261.6607
304.81000000000006,7.26,291676.3975,2762252.4104
312.86,7.15,291679.7739,2762245.1027
