new_x,elevation,ex_data,ny_data
0.0,71.15,282930.999,2758557.363
2.21,70.45,282931.9761,2758555.3807
8.39,70.1,282934.7084,2758549.8376
9.23,69.96,282935.0798,2758549.0841
11.47,69.99,282936.0702,2758547.0749
13.19,70.18,282936.8306,2758545.5322
30.63,69.9,282944.5413,2758529.8893
31.68,69.92,282945.0055,2758528.9475
31.85,67.79,282945.0807,2758528.795
32.28,67.58,282945.2708,2758528.4093
32.68,65.18,282945.4476,2758528.0505
38.02,62.15,282947.8086,2758523.2608
42.37,61.16,282949.7318,2758519.359
46.33,59.89,282951.4826,2758515.8071
50.63,57.69,282953.3838,2758511.9502
54.55,56.87,282955.1169,2758508.4341
63.52,56.74,282959.0828,2758500.3884
64.22,53.53,282959.3922,2758499.7606
73.41,53.35,282963.4554,2758491.5176
80.57,52.89,282966.621,2758485.0954
84.43,53.04,282968.3276,2758481.6331
85.24,56.73,282968.6857,2758480.9066
85.52,56.74,282968.8095,2758480.6554
85.65,56.04,282968.867,2758480.5388
86.02,56.01,282969.0306,2758480.207
86.16,56.6,282969.0925,2758480.0814
86.27,56.61,282969.1411,2758479.9827
86.46,56.33,282969.2251,2758479.8123
88.99,56.26,282970.3437,2758477.543
104.24,56.06,282977.0861,2758463.8645
120.66,56.27,282984.3458,2758449.1365
120.99,56.67,282984.4917,2758448.8405
136.57,56.56,282991.38,2758434.8659
153.71,56.51,282998.958,2758419.4921
171.74,56.48,283006.9295,2758403.32
194.61,56.21,283017.0409,2758382.8067
204.91,56.05,283021.5948,2758373.568
205.31,56.24,283021.7716,2758373.2092
205.94,56.27,283022.0501,2758372.6442
207.47,55.55,283022.7266,2758371.2718
207.52,54.95,283022.7487,2758371.227
207.98,54.96,283022.9521,2758370.8144
208.01,55.56,283022.9653,2758370.7875
208.3,55.59,283023.0936,2758370.5274
209.89,55.73,283023.7965,2758369.1012
213.89,55.66,283025.565,2758365.5134
213.99,55.34,283025.6092,2758365.4237
229.12,55.47,283032.2986,2758351.8528
244.42,55.51,283039.0631,2758338.1294
245.42,55.3,283039.5052,2758337.2324
257.43,55.15,283044.8151,2758326.46
265.05,55.23,283048.1841,2758319.6252
270.09,55.27,283050.4124,2758315.1045
274.78,54.11,283052.486,2758310.8978
287.41,54.43,283058.07,2758299.5693
287.95,54.01,283058.3088,2758299.0849
288.58,54.02,283058.5873,2758298.5198
295.71,56.98,283061.7397,2758292.1245
307.65,57.16,283067.0186,2758281.4149
331.52,57.68,283077.5722,2758260.0046
365.32,57.84,283092.516,2758229.6875
387.02,57.68,283102.1101,2758210.2236
403.8,57.17,283109.5289,2758195.1727
407.45,55.71,283111.1427,2758191.8988
409.34,55.76,283111.9783,2758190.2036
419.35,55.77,283116.404,2758181.2251
422.96,54.02,283118.0,2758177.9871
426.9,53.96,283119.742,2758174.4531
427.28,53.83,283119.91,2758174.1122
433.27,52.24,283122.5583,2758168.7395
435.93,52.25,283123.7344,2758166.3536
440.89,53.37,283125.9273,2758161.9047
443.38,53.01,283127.0282,2758159.6713
454.32,52.3,283131.8651,2758149.8586
457.89,52.45,283133.4434,2758146.6564
461.81,51.87,283135.1766,2758143.1404
464.53,51.71,283136.3791,2758140.7007
466.87,51.19,283137.4137,2758138.6018
471.0,50.78,283139.2397,2758134.8974
483.82,50.75,283144.9077,2758123.3984
500.82,50.72,283152.4238,2758108.1502
514.0,50.7,283158.251,2758096.3283
528.9,50.67,283164.8387,2758082.9637
544.42,50.65,283171.7005,2758069.043
554.89,50.63,283176.3295,2758059.6519
567.97,50.61,283182.1125,2758047.9197
578.48,50.6,283186.7592,2758038.4927
589.1,50.58,283191.4546,2758028.967
604.47,50.54,283198.2501,2758015.1808
612.56,50.52,283201.8269,2758007.9245
620.3,50.5,283205.2489,2758000.982
630.25,50.25,283209.648,2757992.0573
640.91,49.87,283214.3611,2757982.4958
651.53,49.35,283219.0564,2757972.9702
661.92,48.49,283223.6501,2757963.6508
673.29,47.54,283228.6771,2757953.4524
684.06,46.59,283233.4388,2757943.7922
695.28,45.7,283238.3994,2757933.7284
705.45,45.99,283242.8958,2757924.6064
716.25,46.05,283247.6708,2757914.9193
726.39,47.3,283252.1539,2757905.8241
736.92,47.6,283256.8095,2757896.3792
747.69,47.8,283261.5711,2757886.719
758.43,47.19,283266.3196,2757877.0857
768.91,46.86,283270.953,2757867.6856
778.84,46.93,283275.3433,2757858.7789
788.91,47.09,283279.7955,2757849.7465
798.84,47.49,283284.1858,2757840.8398
808.52,47.99,283288.4656,2757832.1572
819.73,48.35,283293.4218,2757822.1024
829.81,48.79,283297.8784,2757813.0611
840.98,48.91,283302.817,2757803.0421
852.04,49.29,283307.7069,2757793.1218
863.09,49.45,283312.5923,2757783.2104
874.49,49.6,283317.6325,2757772.9852
885.59,49.75,283322.5401,2757763.029
895.13,49.96,283326.758,2757754.472
904.5,50.07,283330.9007,2757746.0675
913.15,50.23,283334.7251,2757738.3089
922.93,50.29,283339.0491,2757729.5367
934.14,50.37,283344.0053,2757719.4818
944.38,50.46,283348.5326,2757710.297
953.86,50.4,283352.724,2757701.7939
965.41,50.29,283357.8305,2757691.434
975.34,50.32,283362.2208,2757682.5273
985.64,50.05,283366.7747,2757673.2886
996.75,49.89,283371.6867,2757663.3235
1007.9,49.65,283376.6164,2757653.3224
1018.48,49.27,283381.2941,2757643.8327
1029.44,49.41,283386.1398,2757634.002
1040.8,49.01,283391.1623,2757623.8126
1051.48,48.49,283395.8842,2757614.2332
1062.35,48.27,283400.6901,2757604.4833
1073.7,48.12,283405.7082,2757594.3028
1083.83,47.97,283410.1869,2757585.2167
1093.6,47.95,283414.5065,2757576.4534
1103.96,48.43,283419.0869,2757567.161
1113.06,48.75,283423.1102,2757558.9987
1123.99,48.58,283427.9426,2757549.195
1134.02,48.32,283432.3771,2757540.1985
1144.06,47.69,283436.8161,2757531.1931
1153.97,47.68,283441.1975,2757522.3043
1165.02,47.63,283446.083,2757512.3929
1174.47,47.56,283450.2611,2757503.9167
1185.08,47.2,283454.952,2757494.4
1195.67,47.11,283459.6341,2757484.9013
1206.45,47.25,283464.4002,2757475.2321
1217.59,46.58,283469.3255,2757465.24
1228.05,47.17,283473.9501,2757455.8579
1238.07,47.42,283478.3802,2757446.8704
