new_x,elevation,ex_data,ny_data
0.0,99.79,277178.418,2751499.909
0.56,99.68,277178.9145,2751499.6499
1.26,99.68,277179.535,2751499.326
1.5,99.23,277179.7478,2751499.215
8.9,98.87,277186.3082,2751495.7913
10.09,97.82,277187.3632,2751495.2407
14.069999999999999,97.69,277190.8916,2751493.3993
31.76,97.5,277206.5744,2751485.2147
45.46,97.68,277218.72,2751478.8762
56.9,97.68,277228.862,2751473.5833
57.25,96.67,277229.1723,2751473.4214
58.050000000000004,96.7,277229.8815,2751473.0512
58.21,97.69,277230.0233,2751472.9772
72.18,97.89,277242.4083,2751466.5138
88.62,97.88,277256.9829,2751458.9075
89.07000000000001,98.6,277257.3819,2751458.6993
93.36,98.81,277261.1851,2751456.7145
103.01,99.21,277269.7402,2751452.2498
109.69,99.02,277275.6623,2751449.1592
111.78,98.72,277277.5151,2751448.1922
120.98,95.47,277285.6713,2751443.9357
128.7,91.38,277292.5153,2751440.3639
152.04,91.65,277313.2071,2751429.5653
166.51,91.48,277326.0353,2751422.8705
176.44,91.6,277334.8386,2751418.2762
187.7,92.23,277344.821,2751413.0666
198.41,92.26,277354.3159,2751408.1114
215.8,91.63,277369.7327,2751400.0657
226.75,91.46,277379.4403,2751394.9995
238.06,91.29,277389.4671,2751389.7667
252.32,91.36,277402.1091,2751383.1691
256.95,91.99,277406.2137,2751381.027
271.36999999999995,92.32,277418.9976,2751374.3553
285.30999999999995,92.31,277431.3559,2751367.9058
295.85999999999996,91.95,277440.7089,2751363.0247
309.92999999999995,90.33,277453.1825,2751356.5149
324.78999999999996,90.02,277466.3564,2751349.6397
339.48999999999995,89.88,277479.3885,2751342.8385
353.39,89.76,277491.7114,2751336.4075
370.09999999999997,89.67,277506.5254,2751328.6763
371.98999999999995,88.52,277508.201,2751327.8019
386.98999999999995,87.92,277521.499,2751320.8619
401.98999999999995,87.82,277534.7971,2751313.9219
416.98999999999995,87.62,277548.0952,2751306.9819
425.33,88.06,277555.4889,2751303.1233
434.60999999999996,88.57,277563.716,2751298.8298
451.55999999999995,89.91,277578.7428,2751290.9876
468.96999999999997,90.46,277594.1774,2751282.9326
497.09999999999997,89.75,277619.1157,2751269.9178
520.79,90.11,277640.1177,2751258.9572
540.03,90.21,277657.1747,2751250.0555
564.91,90.87,277679.2318,2751238.5444
589.72,91.34,277701.2267,2751227.0656
615.38,91.15,277723.9753,2751215.1936
640.0799999999999,90.64,277745.8728,2751203.7658
653.4399999999999,89.69,277757.7169,2751197.5846
663.99,88.6,277767.0699,2751192.7034
678.99,88.3,277780.3679,2751185.7635
693.99,88.0,277793.666,2751178.8235
708.78,88.41,277806.7779,2751171.9806
722.22,88.4,277818.6929,2751165.7624
736.52,88.59,277831.3704,2751159.1463
752.4,88.3,277845.4486,2751151.7991
767.47,87.92,277858.8087,2751144.8268
779.2099999999999,87.38,277869.2167,2751139.3951
791.42,86.99,277880.0413,2751133.7459
805.85,86.15,277892.834,2751127.0696
824.4599999999999,87.45,277909.3325,2751118.4594
842.61,88.88,277925.4231,2751110.062
860.0899999999999,89.26,277940.9198,2751101.9746
878.05,91.19,277956.842,2751093.6652
890.25,90.96,277967.6578,2751088.0206
909.65,90.55,277984.8566,2751079.0449
928.27,91.07,278001.3639,2751070.4301
946.4399999999999,91.19,278017.4723,2751062.0234
966.37,91.12,278035.141,2751052.8025
985.31,91.3,278051.932,2751044.0396
998.4399999999999,91.19,278063.5722,2751037.9648
1014.81,91.39,278078.0849,2751030.391
1031.36,91.56,278092.7571,2751022.7339
1044.78,91.56,278104.6544,2751016.5249
1057.94,91.53,278116.3212,2751010.4362
1068.09,91.82,278125.3196,2751005.7401
1073.1499999999999,91.71,278129.8054,2751003.399
1081.8799999999999,94.53,278137.5449,2750999.36
1089.97,94.81,278144.717,2750995.617
