new_x,elevation,ex_data,ny_data
0.0,20.02,291548.55,2762529.113
0.009999999999990905,20.0,291548.5542,2762529.1039
0.3000000000000682,19.85,291548.6758,2762528.8407
0.3100000000000591,19.73,291548.68,2762528.8316
0.6100000000000136,19.73,291548.8059,2762528.5592
6.5,16.95,291551.2763,2762523.2124
6.509999999999991,16.84,291551.2805,2762523.2033
7.889999999999986,16.74,291551.8593,2762521.9506
7.899999999999977,16.24,291551.8635,2762521.9415
8.899999999999977,16.24,291552.283,2762521.0337
8.910000000000082,15.73,291552.2872,2762521.0246
9.930000000000064,15.73,291552.715,2762520.0987
9.940000000000055,15.23,291552.7192,2762520.0896
16.300000000000068,15.17,291555.3868,2762514.3161
28.50999999999999,15.03,291560.508,2762503.232
45.47000000000003,14.83,291567.6216,2762487.8359
60.25999999999999,14.49,291573.8251,2762474.4097
75.61000000000001,14.08,291580.2634,2762460.4752
77.75999999999999,13.96,291581.1651,2762458.5235
82.18000000000006,13.85,291583.019,2762454.511
90.85000000000002,9.76,291586.6555,2762446.6405
96.01999999999998,9.33,291588.824,2762441.9473
103.0,9.3,291591.7516,2762435.6109
111.86000000000001,9.69,291595.4678,2762427.5679
121.52999999999997,10.25,291599.5237,2762418.7896
132.39,10.74,291604.0788,2762408.931
141.43000000000006,11.04,291607.8705,2762400.7246
143.73000000000002,11.14,291608.8352,2762398.6367
150.99,10.98,291611.8802,2762392.0462
155.32000000000005,10.72,291613.6964,2762388.1155
158.81000000000006,10.29,291615.1602,2762384.9473
164.24,9.09,291617.4377,2762380.018
170.35000000000002,8.52,291620.0005,2762374.4714
176.17000000000007,7.98,291622.4416,2762369.1881
177.87,8.58,291623.1546,2762367.6449
179.47000000000003,8.63,291623.8257,2762366.1924
181.86,7.0,291624.8281,2762364.0228
190.52999999999997,6.02,291628.4646,2762356.1523
195.52999999999997,6.07,291630.5618,2762351.6133
208.70000000000005,6.92,291636.0857,2762339.6578
218.89999999999998,7.35,291640.364,2762330.3984
234.39999999999998,7.93,291646.8652,2762316.3277
246.84000000000003,7.96,291652.0829,2762305.0348
258.27,7.93,291656.877,2762294.6588
268.62,7.58,291661.2182,2762285.2632
