new_x,elevation,ex_data,ny_data
0.0,33.96,287012.815,2760957.989
4.789999999999999,33.57,287014.9118,2760953.6824
7.589999999999996,33.3,287016.1376,2760951.1649
17.660000000000004,30.44,287020.5458,2760942.111
23.309999999999995,29.51,287023.0191,2760937.0312
32.4,29.09,287026.9983,2760928.8584
39.410000000000004,28.18,287030.0669,2760922.5558
51.309999999999995,25.27,287035.2762,2760911.8566
53.21,25.12,287036.1079,2760910.1483
53.82,24.03,287036.375,2760909.5999
54.529999999999994,23.9,287036.6858,2760908.9615
54.949999999999996,22.64,287036.8696,2760908.5839
60.02,22.24,287039.089,2760904.0255
64.69999999999999,21.3,287041.1377,2760899.8178
69.85,22.03,287043.3922,2760895.1875
77.57,22.82,287046.7716,2760888.2465
81.37,23.49,287048.4351,2760884.8299
88.63,23.48,287051.6132,2760878.3025
92.04000000000002,23.83,287053.106,2760875.2366
94.46000000000001,23.78,287054.1653,2760873.0608
101.70000000000002,24.17,287057.3347,2760866.5514
108.51000000000002,24.66,287060.3158,2760860.4286
117.48000000000002,24.68,287064.2424,2760852.3637
122.23000000000002,25.06,287066.3218,2760848.093
127.53,24.89,287068.6419,2760843.3279
130.35,25.23,287069.8764,2760840.7924
141.27,24.79,287074.6566,2760830.9743
146.93,24.92,287077.1343,2760825.8855
152.93,24.48,287079.7609,2760820.4909
165.16,24.47,287085.1146,2760809.495
173.77,24.67,287088.8837,2760801.7539
178.99,24.47,287091.1688,2760797.0606
185.24,24.62,287093.9047,2760791.4413
193.8,24.48,287097.6519,2760783.7451
197.38,24.74,287099.2191,2760780.5263
201.78,24.36,287101.1452,2760776.5703
206.49,24.56,287103.207,2760772.3356
219.40000000000003,23.92,287108.8584,2760760.7283
225.07999999999998,24.13,287111.3449,2760755.6215
240.48000000000002,23.52,287118.0863,2760741.7755
250.7,23.67,287122.5602,2760732.5868
257.39,23.32,287125.4887,2760726.5718
264.55,23.2,287128.6231,2760720.1343
273.34000000000003,23.98,287132.4709,2760712.2313
276.88,22.87,287134.0206,2760709.0485
282.05,23.57,287136.2838,2760704.4002
290.84000000000003,24.36,287140.1316,2760696.4972
294.79,25.02,287141.8608,2760692.9458
298.54,24.99,287143.5023,2760689.5742
305.01,24.8,287146.3346,2760683.7571
312.26,25.63,287149.5083,2760677.2387
317.93,26.64,287151.9904,2760672.1408
321.2,24.29,287153.4219,2760669.2008
324.3,28.83,287154.7789,2760666.4136
331.08,29.6,287157.7469,2760660.3178
335.91,30.7,287159.8612,2760655.9752
338.34000000000003,30.97,287160.925,2760653.7904
342.06,32.44,287162.5534,2760650.4458
344.26,33.82,287163.5165,2760648.4678
350.2,33.84,287166.1168,2760643.1272
356.78000000000003,34.1,287168.9972,2760637.2111
360.61,34.52,287170.6738,2760633.7676
364.99,35.36,287172.5912,2760629.8296
368.29,35.2,287174.0358,2760626.8626
369.73,34.61,287174.6661,2760625.5679
379.62,35.42,287178.9955,2760616.6759
387.56,35.45,287182.4713,2760609.5371
395.04,35.3,287185.7457,2760602.8119
404.13,34.43,287189.7249,2760594.6391
408.46,34.3,287191.6204,2760590.7461
409.72,34.94,287192.1719,2760589.6132
418.26,35.0,287195.9104,2760581.935
423.94,35.24,287198.3968,2760576.8281
424.82,35.18,287198.782,2760576.0369
425.35,35.79,287199.014,2760575.5604
430.09000000000003,35.95,287201.089,2760571.2987
446.56,35.79,287208.2988,2760556.4907
459.88,35.86,287214.1297,2760544.5148
463.93,35.62,287215.9026,2760540.8735
474.56,35.56,287220.556,2760531.3161
477.76000000000005,35.56,287221.9568,2760528.439
478.95,35.68,287222.4777,2760527.3691
479.83,35.7,287222.8629,2760526.5779
480.79,36.86,287223.2832,2760525.7148
500.39000000000004,36.49,287231.8632,2760508.0926
508.97999999999996,36.93,287235.6235,2760500.3694
511.89000000000004,36.94,287236.8974,2760497.753
512.05,36.54,287236.9674,2760497.6092
512.5,36.5,287237.1644,2760497.2046
512.5699999999999,36.93,287237.195,2760497.1417
512.9399999999999,37.01,287237.357,2760496.809
