new_x,elevation,ex_data,ny_data
826.73,1.24,300626.7604,2771203.5949
836.73,1.41,300634.193,2771196.905
850.0,1.45,300644.0561,2771188.0275
868.25,1.43,300657.6207,2771175.8183
881.21,1.58,300667.2534,2771167.1482
885.38,-0.06,300670.3528,2771164.3585
895.8,-0.05,300678.0976,2771157.3876
907.27,-0.05,300686.6228,2771149.7142
918.17,-0.06,300694.7244,2771142.4222
928.35,-0.44,300702.2908,2771135.6118
931.97,-0.47,300704.9815,2771133.1901
940.37,-0.87,300711.2249,2771127.5705
948.91,-1.18,300717.5723,2771121.8573
956.79,-1.61,300723.4293,2771116.5856
967.61,-2.15,300731.4714,2771109.3471
977.75,-2.31,300739.0081,2771102.5635
986.91,-2.41,300745.8164,2771096.4355
996.54,-2.42,300752.974,2771089.9931
1004.17,-2.66,300758.6451,2771084.8887
1007.45,-2.67,300761.083,2771082.6944
1012.4,-1.77,300764.7622,2771079.3829
1015.61,-0.62,300767.148,2771077.2354
1019.23,0.08,300769.8387,2771074.8137
1024.37,1.4,300773.659,2771071.375
1029.04,2.72,300777.1301,2771068.2508
1030.98,2.52,300778.572,2771066.953
