new_x,elevation,ex_data,ny_data
0.0,26.79,289782.843,2762287.705
0.33999999999999986,26.59,289782.9046,2762287.3706
5.76,26.57,289783.8873,2762282.0405
5.859999999999999,26.42,289783.9054,2762281.9421
11.389999999999999,25.99,289784.908,2762276.5038
15.96,25.03,289785.7365,2762272.0096
22.08,24.4,289786.8461,2762265.991
28.679999999999996,23.45,289788.0427,2762259.5005
33.35,22.35,289788.8893,2762254.9079
38.03,20.87,289789.7378,2762250.3055
43.300000000000004,18.83,289790.6933,2762245.1228
47.14,17.39,289791.3895,2762241.3465
51.910000000000004,15.96,289792.2543,2762236.6556
56.800000000000004,15.02,289793.1408,2762231.8466
63.830000000000005,14.91,289794.4154,2762224.9332
67.83999999999999,14.68,289795.1424,2762220.9896
74.1,14.4,289796.2773,2762214.8334
79.52,14.6,289797.26,2762209.5033
83.52,15.12,289797.9852,2762205.5696
88.08,15.16,289798.8119,2762201.0852
90.89999999999999,14.16,289799.3232,2762198.3119
93.38,13.55,289799.7728,2762195.873
95.97999999999999,13.55,289800.2442,2762193.3161
98.97999999999999,14.15,289800.7881,2762190.3659
101.91,14.77,289801.3193,2762187.4844
109.08999999999999,14.48,289802.621,2762180.4235
116.25,14.13,289803.9191,2762173.3822
121.78,14.16,289804.9217,2762167.9438
123.67999999999999,14.48,289805.2662,2762166.0753
128.20000000000002,14.31,289806.0856,2762161.6303
132.43,13.15,289806.8525,2762157.4704
138.04000000000002,12.9,289807.8696,2762151.9534
143.13000000000002,13.16,289808.7924,2762146.9478
148.69,13.16,289809.8005,2762141.48
153.66,12.69,289810.7015,2762136.5923
155.18,12.45,289810.9771,2762135.0975
157.46,11.95,289811.3905,2762132.8553
161.60000000000002,11.59,289812.1411,2762128.784
165.74,11.59,289812.8916,2762124.7126
165.95000000000002,11.56,289812.9297,2762124.5061
166.3,10.62,289812.9932,2762124.1619
169.15,10.85,289813.5099,2762121.3591
170.96,12.22,289813.838,2762119.5791
172.64000000000001,12.31,289814.1426,2762117.927
174.06,11.73,289814.4,2762116.5305
175.77,11.69,289814.7101,2762114.8489
176.33,10.85,289814.8116,2762114.2982
182.29000000000002,10.31,289815.8921,2762108.437
190.73000000000002,10.48,289817.4223,2762100.1369
199.03,10.53,289818.9271,2762091.9745
206.07000000000002,10.76,289820.2035,2762085.0512
214.20000000000002,10.89,289821.6774,2762077.056
222.42000000000002,10.69,289823.1677,2762068.9722
230.49,10.31,289824.6308,2762061.036
237.92000000000002,10.71,289825.9779,2762053.7292
246.8,10.57,289827.5878,2762044.9964
253.60999999999999,10.28,289828.8224,2762038.2993
262.12,10.37,289830.3653,2762029.9304
265.04999999999995,10.33,289830.8965,2762027.0489
266.34999999999997,11.04,289831.1322,2762025.7705
266.51,12.39,289831.1612,2762025.6132
271.21,13.01,289832.0133,2762020.9911
275.08,13.28,289832.715,2762017.1852
275.16999999999996,14.44,289832.7313,2762017.0967
276.33,14.46,289832.9416,2762015.9559
276.35999999999996,12.82,289832.947,2762015.9264
278.34,12.95,289833.306,2762013.9793
278.5,13.84,289833.335,2762013.8219
279.77,14.4,289833.5653,2762012.573
280.03,14.48,289833.6124,2762012.3173
280.22999999999996,15.79,289833.6486,2762012.1206
281.04999999999995,15.78,289833.7973,2762011.3142
281.37,16.71,289833.8553,2762010.9995
282.08,16.67,289833.9841,2762010.3013
282.25,17.67,289834.0149,2762010.1341
283.12,17.62,289834.1726,2762009.2785
283.26,18.56,289834.198,2762009.1408
287.01,18.52,289834.8779,2762005.453
293.97999999999996,22.26,289836.1415,2761998.5985
295.09,22.28,289836.3428,2761997.5069
299.19,22.52,289837.0861,2761993.4749
302.14,23.51,289837.6209,2761990.5738
307.64,24.38,289838.6181,2761985.165
314.45,25.11,289839.8527,2761978.4679
322.10999999999996,25.72,289841.2415,2761970.9349
330.35999999999996,25.84,289842.7372,2761962.8216
334.31,26.07,289843.4533,2761958.9371
339.49,26.31,289844.3925,2761953.843
344.35999999999996,26.44,289845.2754,2761949.0537
344.45,26.62,289845.2917,2761948.9652
347.29999999999995,26.63,289845.8084,2761946.1625
347.34999999999997,32.84,289845.8175,2761946.1133
353.78,33.21,289846.9833,2761939.7899
361.78,33.65,289848.4337,2761931.9225
361.83,26.82,289848.4427,2761931.8733
369.58,26.77,289849.8478,2761924.2518
371.75,26.78,289850.2412,2761922.1178
371.84,27.1,289850.2575,2761922.0293
372.13,27.11,289850.3101,2761921.7441
372.27,26.99,289850.3355,2761921.6064
372.66999999999996,27.03,289850.408,2761921.213
373.15,26.47,289850.495,2761920.741
376.01,26.31,289851.0135,2761917.9284
378.87,26.31,289851.5321,2761915.1158
384.74,26.32,289852.5963,2761909.3431
386.35999999999996,26.35,289852.89,2761907.75
