new_x,elevation,ex_data,ny_data
0.0,14.91,293956.733,2765253.758
0.01999999999999602,14.73,293956.751,2765253.7492
0.7199999999999989,14.71,293957.3801,2765253.4423
13.700000000000003,8.9,293969.046,2765247.7512
18.299999999999997,8.88,293973.1803,2765245.7344
28.019999999999996,4.41,293981.9163,2765241.4727
31.310000000000002,4.97,293984.8732,2765240.0302
34.7,4.03,293987.92,2765238.5438
37.64,4.47,293990.5623,2765237.2548
43.39,4.32,293995.7302,2765234.7337
43.83999999999999,3.97,293996.1347,2765234.5364
44.83,3.92,293997.0244,2765234.1023
49.0,3.87,294000.7723,2765232.274
53.81,3.45,294005.0953,2765230.165
57.75999999999999,0.6,294008.6454,2765228.4332
63.36999999999999,-0.87,294013.6874,2765225.9735
65.83,-0.98,294015.8984,2765224.8949
69.48,-2.31,294019.1789,2765223.2946
72.92999999999999,-4.05,294022.2796,2765221.7819
76.71999999999998,-4.75,294025.6859,2765220.1202
80.32000000000001,-5.86,294028.9214,2765218.5418
83.86,-5.59,294032.103,2765216.9897
87.68999999999998,-6.04,294035.5453,2765215.3104
91.61999999999999,-6.11,294039.0774,2765213.5873
95.49,-6.08,294042.5556,2765211.8905
99.58999999999999,-6.09,294046.2405,2765210.0928
103.33,-6.03,294049.6019,2765208.453
107.14999999999999,-5.91,294053.0352,2765206.7782
111.32000000000001,-5.79,294056.783,2765204.9498
115.52,-5.72,294060.5578,2765203.1084
119.14,-5.74,294063.8113,2765201.5212
122.95,-5.8,294067.2356,2765199.8507
126.99999999999999,-5.64,294070.8756,2765198.075
130.90999999999997,-5.7,294074.3897,2765196.3606
134.73000000000002,-5.57,294077.823,2765194.6857
138.51999999999998,-5.51,294081.2293,2765193.024
142.29000000000002,-5.42,294084.6176,2765191.3711
146.27999999999997,-5.34,294088.2037,2765189.6217
150.14,-5.24,294091.6729,2765187.9292
153.89999999999998,-5.09,294095.0522,2765186.2807
157.95999999999998,-4.88,294098.7012,2765184.5006
162.12,-4.47,294102.44,2765182.6766
165.07999999999998,-3.54,294105.1004,2765181.3788
166.94,-2.15,294106.7721,2765180.5633
168.18,-0.68,294107.8865,2765180.0196
168.98000000000002,0.33,294108.6055,2765179.6689
174.17000000000002,0.55,294113.2701,2765177.3933
174.18,0.06,294113.2791,2765177.3889
179.42000000000002,3.61,294117.9886,2765175.0914
179.45999999999998,2.48,294118.0245,2765175.0739
180.62,5.27,294119.0671,2765174.5653
183.20999999999998,6.98,294121.3949,2765173.4297
189.95999999999998,8.67,294127.4615,2765170.4702
200.68,8.9,294137.0962,2765165.77
213.22999999999996,9.11,294148.3757,2765160.2675
220.57999999999998,9.23,294154.9816,2765157.0449
237.03999999999996,9.58,294169.7752,2765149.828
248.76,9.55,294180.3086,2765144.6894
257.79999999999995,9.52,294188.4334,2765140.7258
268.04999999999995,9.6,294197.6457,2765136.2317
297.41999999999996,9.59,294224.0423,2765123.3544
305.84,9.86,294231.6099,2765119.6627
318.79999999999995,9.91,294243.2578,2765113.9804
332.27,9.94,294255.3641,2765108.0745
334.24,9.99,294257.1347,2765107.2107
357.99,10.09,294278.4802,2765096.7976
364.51,10.09,294284.3401,2765093.9389
372.62,10.07,294291.6291,2765090.3831
385.24,10.17,294302.9714,2765084.8498
388.21999999999997,9.93,294305.6497,2765083.5433
396.15999999999997,10.11,294312.7859,2765080.062
407.34999999999997,10.27,294322.843,2765075.1557
424.64,10.36,294338.3826,2765067.5749
426.66999999999996,10.37,294340.2071,2765066.6849
429.46,10.32,294342.7146,2765065.4616
431.74,10.42,294344.7638,2765064.462
435.45,10.47,294348.0982,2765062.8353
444.28,10.42,294356.0343,2765058.9638
457.34000000000003,10.37,294367.7721,2765053.2377
466.69999999999993,10.38,294376.1845,2765049.1338
481.39,10.46,294389.3873,2765042.693
487.65999999999997,10.22,294395.0225,2765039.9439
499.37,9.91,294405.547,2765034.8096
505.87,8.94,294411.3889,2765031.9597
508.73,8.19,294413.9594,2765030.7058
508.86,8.49,294414.0762,2765030.6488
510.01,8.55,294415.1098,2765030.1445
514.12,8.55,294418.8037,2765028.3425
518.9,8.68,294423.0998,2765026.2467
525.35,8.67,294428.8968,2765023.4187
534.54,8.74,294437.1564,2765019.3894
542.26,8.85,294444.0948,2765016.0046
542.63,9.18,294444.4273,2765015.8423
545.5699999999999,9.21,294447.0697,2765014.5533
545.8299999999999,8.96,294447.3034,2765014.4393
554.28,9.0,294454.8979,2765010.7344
562.98,9.01,294462.7171,2765006.9199
563.1,9.28,294462.825,2765006.8673
564.38,9.24,294463.9754,2765006.3061
564.47,8.97,294464.0563,2765006.2666
570.8199999999999,8.96,294469.7634,2765003.4824
571.54,8.59,294470.4105,2765003.1668
572.12,8.59,294470.9318,2765002.9125
572.77,8.98,294471.516,2765002.6275
574.85,9.02,294473.3854,2765001.7155
574.9399999999999,9.42,294473.4663,2765001.676
574.99,9.4,294473.5112,2765001.6541
575.13,9.06,294473.637,2765001.5927
582.85,9.07,294480.5755,2764998.2079
582.92,9.45,294480.6384,2764998.1772
583.0699999999999,9.43,294480.7732,2764998.1114
583.09,9.06,294480.7912,2764998.1027
583.4399999999999,9.0,294481.1057,2764997.9492
584.11,8.76,294481.7079,2764997.6555
584.6,8.84,294482.1483,2764997.4406
584.8299999999999,9.04,294482.355,2764997.3398
584.85,9.11,294482.373,2764997.331
