new_x,elevation,ex_data,ny_data
0.0,18.32,292227.607,2762753.948
0.36000000000001364,15.31,292227.7809,2762753.6328
29.100000000000023,14.3,292241.6642,2762728.4686
84.06000000000006,21.05,292268.2135,2762680.3468
114.61000000000001,21.35,292282.9711,2762653.5978
115.55000000000007,23.29,292283.4252,2762652.7748
159.02999999999997,23.47,292304.4289,2762614.7046
165.55000000000007,24.45,292307.5785,2762608.9958
175.96000000000004,19.21,292312.6072,2762599.881
235.13,18.06,292341.1902,2762548.073
251.10000000000002,9.48,292348.9047,2762534.09
282.21000000000004,8.92,292363.9329,2762506.8507
303.1700000000001,8.75,292374.0579,2762488.4985
319.58000000000004,8.36,292381.9851,2762474.1303
354.43000000000006,9.04,292398.8199,2762443.6163
358.12,7.33,292400.6024,2762440.3854
368.48,5.75,292405.607,2762431.3144
374.71000000000004,8.01,292408.6164,2762425.8596
379.6600000000001,7.88,292411.0076,2762421.5254
389.1700000000001,6.45,292415.6016,2762413.1987
395.59000000000003,7.77,292418.7029,2762407.5775
399.08000000000004,6.84,292420.3888,2762404.5217
405.48,3.24,292423.4804,2762398.918
408.30000000000007,3.29,292424.8426,2762396.4488
411.4100000000001,5.17,292426.3449,2762393.7258
414.38,3.13,292427.7797,2762391.1253
472.83000000000004,3.76,292456.0148,2762339.9477
514.77,3.05,292476.2746,2762303.2259
549.0500000000001,3.61,292492.8341,2762273.211
565.58,5.48,292500.8191,2762258.7377
576.9100000000001,10.63,292506.2923,2762248.8174
583.78,19.88,292509.6109,2762242.8021
605.51,18.4,292520.1079,2762223.7758
609.45,10.21,292522.0112,2762220.326
615.06,10.18,292524.7212,2762215.414
616.6200000000001,9.04,292525.4748,2762214.0481
624.9000000000001,16.93,292529.4746,2762206.7983
656.3199999999999,16.5,292544.6525,2762179.2876
669.4000000000001,13.16,292550.971,2762167.835
