new_x,elevation,ex_data,ny_data
0.0,78.5,279565.906,2754452.341
21.49000000000001,78.65,279583.4969,2754439.9964
33.49000000000001,77.68,279593.3197,2754433.1032
59.49000000000001,77.58,279614.6024,2754418.1679
69.49000000000001,78.38,279622.788,2754412.4235
81.49000000000001,79.35,279632.6108,2754405.5303
101.49000000000001,75.8,279648.9821,2754394.0416
123.49000000000001,73.46,279666.9905,2754381.404
135.49,73.42,279676.8133,2754374.5108
143.49,79.0,279683.3618,2754369.9154
167.49,78.94,279703.0073,2754356.1289
205.49,77.45,279734.1128,2754334.3004
221.49,76.09,279747.2098,2754325.1094
255.49,75.17,279775.041,2754305.5787
265.49,76.2,279783.2266,2754299.8343
281.49,78.58,279796.3236,2754290.6433
303.49,79.01,279814.332,2754278.0058
315.49,79.56,279824.1548,2754271.1126
320.24,79.58,279828.043,2754268.384
