new_x,elevation,ex_data,ny_data
0.0,14.33,293964.592,2765615.112
0.75,4.78,293965.3317,2765614.9884
18.75,3.99,293983.0856,2765612.0212
20.75,2.91,293985.0582,2765611.6915
41.75,2.47,294005.7711,2765608.2298
47.75,2.48,294011.689,2765607.2407
73.75,2.28,294037.3335,2765602.9548
94.75,1.88,294058.0463,2765599.4931
113.75,2.18,294076.7865,2765596.3611
131.75,2.7,294094.5403,2765593.3939
135.75,3.93,294098.4856,2765592.7345
138.75,3.26,294101.4446,2765592.24
145.75,2.93,294108.3489,2765591.0861
158.75,2.78,294121.1711,2765588.9431
165.75,2.93,294128.0754,2765587.7892
173.75,3.23,294135.966,2765586.4705
176.75,7.61,294138.9249,2765585.976
188.75,7.31,294150.7608,2765583.9978
201.75,6.55,294163.5831,2765581.8549
209.75,6.32,294171.4737,2765580.5361
213.75,5.64,294175.419,2765579.8768
229.75,6.35,294191.2002,2765577.2393
287.75,6.75,294248.407,2765567.6784
349.75,7.45,294309.5592,2765557.4581
401.75,7.62,294360.8481,2765548.8862
446.75,9.5,294405.2327,2765541.4683
548.75,9.78,294505.8378,2765524.6543
550.42,9.5,294507.4845,2765524.3785
