new_x,elevation,ex_data,ny_data
0.0,10.88,300012.282,2771756.672
0.01,10.94,300012.2894,2771756.6653
0.64,10.7,300012.7577,2771756.2438
14.76,3.98,300023.2526,2771746.7977
16.09,3.87,300024.2411,2771745.9079
20.930000000000003,3.82,300027.8385,2771742.67
25.94,3.78,300031.5623,2771739.3183
31.880000000000003,3.78,300035.9772,2771735.3445
37.949999999999996,3.78,300040.4889,2771731.2837
44.37,3.69,300045.2606,2771726.9888
51.629999999999995,3.49,300050.6567,2771722.1319
53.21,3.5,300051.8311,2771721.0749
60.76,3.33,300057.4427,2771716.024
69.2,3.27,300063.7158,2771710.3776
71.42,3.31,300065.3659,2771708.8925
73.74000000000001,3.22,300067.0903,2771707.3404
75.18,2.73,300068.1606,2771706.3771
77.43,2.67,300069.8329,2771704.8718
78.34,2.48,300070.5093,2771704.263
79.26,2.05,300071.1931,2771703.6476
80.48,1.53,300072.0999,2771702.8314
82.66000000000001,1.84,300073.7202,2771701.373
86.94000000000001,0.89,300076.9013,2771698.5097
87.0,0.77,300076.9459,2771698.4696
88.72,0.25,300078.2244,2771697.3189
90.44000000000001,0.02,300079.5028,2771696.1682
92.65,-0.28,300081.1454,2771694.6897
94.87,-0.7,300082.7954,2771693.2046
97.08,-1.15,300084.438,2771691.7261
98.53,-1.6,300085.5158,2771690.7561
99.98,-2.18,300086.5935,2771689.786
101.44000000000001,-2.76,300087.6787,2771688.8093
102.89,-3.05,300088.7564,2771687.8393
107.74000000000001,-3.3,300092.3612,2771684.5946
116.66000000000001,-3.24,300098.9911,2771678.6272
126.92,-2.87,300106.617,2771671.7633
136.57999999999998,-2.87,300113.797,2771665.3009
147.76999999999998,-2.99,300122.1141,2771657.8148
157.20999999999998,-3.03,300129.1305,2771651.4995
169.1,-3.25,300137.9679,2771643.5452
178.45,-3.26,300144.9174,2771637.2901
189.7,-3.29,300153.2791,2771629.7639
199.03,-3.09,300160.2138,2771623.5222
204.79999999999998,-2.96,300164.5024,2771619.6621
210.57999999999998,-2.55,300168.7985,2771615.7953
219.32,-2.59,300175.2946,2771609.9483
228.57999999999998,-2.63,300182.1772,2771603.7534
238.19,-2.52,300189.32,2771597.3244
247.53,-2.4,300196.2621,2771591.076
256.15999999999997,-2.48,300202.6764,2771585.3026
266.21,-2.47,300210.1462,2771578.5792
275.58,-2.03,300217.1106,2771572.3107
286.7,-1.8,300225.3757,2771564.8715
