new_x,elevation,ex_data,ny_data
0.0,27.34,288839.206,2762103.073
9.450000000000003,28.86,288844.7959,2762095.4536
91.95,29.04,288893.5963,2762028.9352
115.95,28.72,288907.7928,2762009.5844
142.95,27.16,288923.7639,2761987.8147
145.95,25.61,288925.5384,2761985.3958
166.95,24.83,288937.9604,2761968.4639
205.95,24.62,288961.0297,2761937.0188
224.95,25.83,288972.2686,2761921.6994
232.95,27.51,288977.0007,2761915.2491
245.95,27.46,288984.6905,2761904.7674
256.45,29.06,288990.9015,2761896.3015
262.45,32.17,288994.4506,2761891.4637
264.95,23.17,288995.9294,2761889.448
266.95,31.19,288997.1124,2761887.8355
269.95,30.26,288998.887,2761885.4166
279.95,30.26,289004.8022,2761877.3538
283.45,30.77,289006.8725,2761874.5318
324.95,29.74,289031.4206,2761841.071
350.45,28.38,289046.5044,2761820.5108
361.95,28.47,289053.3069,2761811.2385
381.95,30.0,289065.1373,2761795.1128
443.95,30.11,289101.8116,2761745.1232
450.95,28.09,289105.9522,2761739.4792
464.95,28.11,289114.2335,2761728.1912
477.45,28.46,289121.6275,2761718.1127
493.45,28.3,289131.0919,2761705.2121
511.95,28.79,289142.035,2761690.2959
523.95,28.05,289149.1332,2761680.6205
530.95,28.0,289153.2739,2761674.9765
532.95,28.7,289154.4569,2761673.3639
538.95,29.4,289158.006,2761668.5262
557.95,29.4,289169.2449,2761653.2068
559.95,31.1,289170.428,2761651.5942
572.95,30.8,289178.1177,2761641.1125
606.95,30.58,289198.2294,2761613.6989
645.9200000000001,29.8,289221.281,2761582.278
