new_x,elevation,ex_data,ny_data
0.0,29.88,287935.429,2761456.715
1.25,28.15,287936.0694,2761455.6415
1.259999999999998,27.75,287936.0745,2761455.6329
2.3599999999999994,27.75,287936.638,2761454.6882
2.789999999999999,28.13,287936.8583,2761454.3189
10.779999999999994,28.4,287940.9514,2761447.457
23.82,28.5,287947.6316,2761436.2581
33.27,28.44,287952.4728,2761428.1423
47.87,28.45,287959.9521,2761415.6036
49.76,29.27,287960.9203,2761413.9804
51.4,29.2,287961.7605,2761412.572
53.309999999999995,28.55,287962.739,2761410.9316
56.38,28.13,287964.3117,2761408.2951
57.99999999999999,27.65,287965.1416,2761406.9038
61.96999999999999,27.44,287967.1754,2761403.4943
65.13999999999999,28.28,287968.7993,2761400.7719
67.38999999999999,28.45,287969.9519,2761398.8395
70.83000000000001,28.27,287971.7142,2761395.8852
73.63,27.37,287973.1486,2761393.4805
75.87,27.12,287974.2961,2761391.5568
80.87,26.92,287976.8576,2761387.2627
91.77000000000001,26.89,287982.4415,2761377.9017
100.42000000000002,26.87,287986.8727,2761370.4729
111.70000000000002,26.87,287992.6513,2761360.7855
121.37,26.99,287997.6051,2761352.4808
130.08,26.99,288002.0671,2761345.0005
139.26,27.02,288006.7699,2761337.1166
144.57,26.91,288009.4902,2761332.5563
146.62,26.41,288010.5404,2761330.7957
151.76,26.22,288013.1735,2761326.3814
156.6,25.99,288015.653,2761322.2247
185.65,24.57,288030.5349,2761297.2762
197.36,24.15,288036.5337,2761287.2195
204.32,24.56,288040.0992,2761281.2422
215.07,23.19,288045.6063,2761272.0099
222.81,23.69,288049.5714,2761265.3627
261.48,23.32,288069.3815,2761232.1524
300.78000000000003,24.85,288089.5143,2761198.401
321.52,24.96,288100.1392,2761180.5892
339.04,24.03,288109.1144,2761165.5427
361.03000000000003,24.92,288120.3796,2761146.6574
401.58,24.81,288141.1528,2761111.8325
419.5,24.18,288150.3329,2761096.4426
435.25,25.15,288158.4014,2761082.9163
448.78000000000003,25.35,288165.3327,2761071.2965
458.39,26.07,288170.2557,2761063.0433
474.59000000000003,25.49,288178.5547,2761049.1305
483.67999999999995,26.14,288183.2114,2761041.3239
490.54999999999995,26.19,288186.7308,2761035.4239
495.48,26.3,288189.2564,2761031.1899
506.08000000000004,26.59,288194.6866,2761022.0865
511.29999999999995,26.64,288197.3608,2761017.6035
513.6,26.89,288198.539,2761015.6282
514.16,27.37,288198.8259,2761015.1473
522.18,31.76,288202.9344,2761008.2596
522.98,31.76,288203.3443,2761007.5725
523.04,31.9,288203.375,2761007.521
