new_x,elevation,ex_data,ny_data
0.0,10.99,299893.154,2771646.954
5.600000000000001,6.78,299897.0213,2771642.9038
14.600000000000001,2.08,299903.2365,2771636.3946
74.6,2.15,299944.6716,2771592.9997
82.6,1.6,299950.1962,2771587.2137
143.6,-0.95,299992.3219,2771543.0956
213.6,-2.61,300040.6628,2771492.4683
294.6,-3.21,300096.6001,2771433.8852
314.6,-2.99,300110.4118,2771419.4203
368.6,-2.62,300147.7033,2771380.3649
438.6,-2.64,300196.0442,2771329.7376
463.6,3.34,300213.3088,2771311.6564
578.6,3.19,300292.726,2771228.4829
668.6,2.87,300354.8785,2771163.3906
758.6,2.99,300417.0311,2771098.2983
828.6,2.99,300465.372,2771047.671
832.6,2.25,300468.1343,2771044.778
838.6,-2.06,300472.2778,2771040.4385
878.6,-4.98,300499.9012,2771011.5086
888.6,-6.02,300506.807,2771004.2761
900.6,-6.96,300515.094,2770995.5971
912.6,-7.44,300523.3811,2770986.9182
934.6,-7.02,300538.5739,2770971.0067
988.6,-6.02,300575.8654,2770931.9513
1006.6,-5.12,300588.296,2770918.9329
1028.6,-1.07,300603.4888,2770903.0214
1046.6,2.11,300615.9193,2770890.003
1050.6,2.65,300618.6817,2770887.11
1053.8,3.36,300620.8915,2770884.7956
1054.6,3.3,300621.4445,2770884.217
