x,y
-28.16,4.85
-24.5,4.6
-24.4,4.21
-21.42,4.2
-21.27,4.05
-20.4,4.05
-14.04,4.18
-6.06,4.4
-5.79,4.72
0.27,4.71
5.39,4.7
5.5,4.32
14.18,4.35
15.07,4.3
15.17,4.44
16.75,4.58
16.86,5.54
17.29,5.55
17.4,6.54
17.55,6.54
17.6,5.55
18.13,5.55
18.82,5.68
18.83,6.01
19.67,6.01
20.71,6.2
30.22,10.87
30.57,10.93
36.15,10.97
37.42,10.94
53.0,3.88
55.95,3.83
56.01,3.64
56.21,3.63
56.27,3.49
57.08,3.52
72.05,3.55
72.95,3.5
72.98,3.63
73.18,3.61
73.6,4.44
73.81,4.44
73.87,3.6
76.46,3.6
78.06,3.51
79.0,3.08
79.52,3.09
79.97,3.21
81.65,3.15
84.41,3.12
90.93,3.06
106.36,2.82
111.56,3.28
118.0,3.27
118.08,3.2
127.12,3.05
135.09,2.84
147.35,2.71
157.56,2.87
170.4,2.73
172.01,2.21
175.0,0.48
185.75,0.81
192.71,0.88
205.46,0.97
210.44,1.21
216.59,1.24
278.72,1.78
291.76,2.1
303.21,2.34
320.71,1.89
338.31,2.01
347.41,1.78
358.13,1.55
372.1,1.39
383.43,1.04
395.73,-0.42
400.8,-0.55
406.02,-0.62
410.42,-0.84
415.9,-1.39
424.89,-1.47
433.22,-1.04
442.54,-1.29
450.22,-1.32
458.17,-1.53
466.27,-1.76
475.91,-1.72
485.1,-2.11
494.6,-2.19
504.05,-2.39
512.28,-2.25
521.36,-2.28
530.38,-2.39
539.94,-2.37
548.24,-2.33
557.87,-2.34
565.95,-2.36
575.64,-2.33
583.96,-2.09
593.87,-2.02
602.54,-1.82
611.3,-1.59
619.35,-1.53
628.17,-1.13
633.95,-1.02
642.01,-1.07
650.59,-1.04
658.72,-1.17
666.33,-1.19
676.4,-1.41
683.48,-1.48
686.05,-1.01
690.13,-0.58
695.48,-0.21
695.81,0.03
701.55,0.28
705.56,0.41
710.32,0.39
711.63,0.69
714.89,-0.79
725.36,-0.39
731.54,0.27
744.58,1.06
752.88,1.58
767.87,1.81
776.79,1.71
789.58,1.62
798.9,1.72
809.1,1.94
817.81,1.89
821.51,1.74
828.91,1.85
836.57,1.96
841.41,1.91
844.65,2.29
847.86,3.65
853.3,3.51
861.61,3.68
877.27,3.73
889.84,3.8
906.88,3.82
911.39,3.81
911.43,3.66
912.93,3.79
926.18,3.93
926.2,4.04
932.03,4.03
932.05,3.95
945.01,4.03
964.95,4.3
965.57,4.34
974.07,4.44
974.53,4.45
977.06,4.52
977.89,7.59
977.95,11.05
978.77,11.05
978.82,5.52
979.08,5.52
979.09,4.89
980.07,4.89
