x,y
0.0,8.74
11.0,8.41
25.0,7.0
59.0,5.28
62.0,4.33
91.0,1.98
114.8,0.78
139.5,0.51
164.0,2.01
173.0,3.63
218.0,5.13
256.0,4.2
274.0,3.33
298.0,3.92
312.0,2.97
350.0,3.39
376.0,1.81
406.0,1.79
416.0,4.37
436.0,6.36
478.0,7.33
530.0,7.15
599.0,7.6
659.0,7.42
740.0,7.28
828.0,7.4
912.0,6.79
956.0,6.88
1016.0,7.11
1060.0,7.1
1117.0,7.26
1166.0,7.77
1193.0,7.71
1277.0,7.96
1318.0,7.99
1418.0,7.92
1527.0,7.96
1572.0,6.6
1590.0,6.14
1594.0,5.64
1615.5,2.66
1678.5,1.19
1705.0,0.15
1726.5,-0.86
1752.0,-0.34
1753.0,1.16
1755.0,2.58
1756.5,4.15
1770.0,4.99
1774.0,8.2
1775.2,8.2
1777.7,8.32
