x,y
-18.87,3.94
0.0,3.89
0.5,11.5
1.0,3.64
1.5,3.66
1.64,3.46
3.16,3.05
6.59,3.3
16.08,2.21
17.58,2.87
29.31,2.96
33.64,3.37
47.4,3.08
47.62,3.25
49.17,3.3
51.97,3.32
52.23,2.39
52.74,2.25
53.5,0.98
54.67,0.85
57.97,0.0
63.67,-0.73
69.16,-0.8
72.16,-0.4
74.89,-0.4
83.89,-1.19
92.81,-1.31
98.41,-1.2
101.41,-1.6
104.41,-1.5
106.41,-1.96
109.62,-1.2
113.62,-4.4
118.62,-4.94
121.91,-4.3
125.91,-2.3
129.91,-2.5
132.91,-2.22
140.93,-2.0
147.93,-2.03
159.41,-3.26
164.35,-3.4
167.35,-3.0
170.35,-3.52
172.35,-2.97
177.25,-3.2
178.25,-3.7
180.25,-3.0
186.25,-3.0
189.25,-3.69
190.69,-3.4
196.69,-5.25
202.69,-4.59
206.75,-5.2
213.75,-5.63
217.75,-5.12
223.65,-2.7
226.65,-2.9
229.65,-2.24
233.34,-2.6
236.34,-2.7
240.34,-1.6
244.34,-1.28
247.92,-1.8
255.92,-2.29
259.25,-2.2
262.25,-1.4
265.25,-1.2
268.25,-2.3
272.25,-2.28
277.39,-1.2
285.39,-1.4
291.86,-1.0
294.86,-2.35
298.86,-1.9
303.56,-1.0
308.56,-0.9
313.56,-1.27
316.14,-1.5
318.14,-1.1
324.14,-0.6
329.14,-0.5
335.46,-0.15
339.43,0.96
341.83,0.54
342.72,0.2
344.84,0.8
364.35,1.73
387.38,1.51
414.09,1.57
447.02,1.67
457.19,3.91
499.52,4.46
528.03,4.81
548.5,4.86
554.7,5.02
556.1,11.5
