x,y
0.0,6.0
57.04,5.86
67.55,6.43
74.43,6.58
85.31,12.06
91.0,12.08
91.64,12.04
103.71,6.17
115.62,5.93
130.9,4.88
150.92,4.47
169.42,4.3
200.61,4.14
217.16,4.16
231.94,4.08
248.96,4.35
265.19,4.1
282.19,3.99
303.05,3.7
326.94,3.5
341.07,3.68
354.75,3.49
368.08,3.63
379.97,3.69
388.31,3.17
390.67,1.88
395.76,-0.31
396.71,-0.52
397.67,-1.36
398.62,-1.33
408.0,-1.41
417.41,-1.42
429.69,-1.44
440.17,-1.18
449.93,-1.29
461.58,-1.08
469.76,-1.09
479.23,-1.13
488.3,-1.34
495.67,-1.09
508.65,-0.99
519.89,-1.09
528.91,-0.88
538.41,-0.86
546.43,-0.44
550.97,-0.38
554.72,-0.71
555.32,-0.41
556.86,0.19
558.39,0.19
558.5,0.67
571.57,1.73
574.5,2.06
581.03,2.61
584.43,3.92
591.05,4.5
597.59,5.03
609.31,6.22
621.55,6.34
636.97,7.02
647.1,7.52
664.03,7.79
672.37,12.38
672.94,12.52
678.69,12.35
688.73,7.2
697.06,7.04
697.15,6.76
707.88,6.64
