x,y
-20.0,1.95
0.0,2.15
0.5,1.9
1.5,0.92
2.5,0.92
3.5,1.92
4.8,2.12
19.5,2.25
34.1,9.71
36.6,9.77
39.9,9.68
53.2,3.35
90.6,3.02
91.7,2.35
95.6,1.32
98.0,-1.18
108.6,-2.28
120.6,-3.03
150.4,-3.98
172.9,-3.58
180.5,-3.58
186.7,-4.08
231.6,-4.98
233.6,-5.33
253.2,-6.38
268.8,-5.88
274.7,-7.68
293.0,-9.23
299.0,-9.38
306.5,-7.03
318.6,-7.38
323.0,-10.38
338.0,-8.98
352.4,-5.88
368.5,-9.78
372.0,-9.43
384.0,-9.23
391.5,-7.23
399.0,-6.98
436.6,-7.78
490.0,-7.38
501.3,-6.43
506.0,-7.81
517.9,-6.68
541.0,-7.23
558.0,-8.98
560.0,-8.98
575.2,-3.88
582.2,-1.53
598.6,-0.53
608.6,-0.33
612.8,0.12
623.8,-0.75
629.8,3.14
633.2,3.6
639.9,3.23
640.2,4.07
640.9,10.03
641.4,2.83
657.0,2.83
