x,y
131.3,22.2
140.94,22.41
140.97,22.66
143.73,22.73
145.99,24.25
155.91,24.18
158.19,22.78
160.08,22.7
165.56,22.47
166.05,22.46
178.17,16.69
182.23,16.66
194.71,10.7
205.23,11.01
206.5,9.29
226.5,7.79
249.09,6.63
269.09,7.43
284.09,8.93
288.22,9.32
313.18,11.7
344.29,12.34
380.78,12.78
410.98,12.86
443.86,12.72
474.97,12.5
498.07,12.64
525.18,12.47
547.82,11.27
567.26,10.92
582.26,11.32
589.37,11.72
590.3,12.3
593.83,12.34
595.42,13.39
618.99,14.25
625.55,20.48
632.74,19.81
641.44,18.96
652.69,24.32
659.67,25.38
699.68,24.93
706.85,25.01
709.54,25.31
711.42,25.56
721.82,25.73
