x,y
-20.34,74.58
36.0,73.4
40.0,75.6
43.6,74.35
53.29,73.57
61.57,74.88
64.44,73.57
69.44,75.07
89.85,75.06
129.94,74.53
154.11,74.31
155.26,71.43
158.46,71.66
167.04,71.66
171.55,74.72
175.27,74.59
176.04,73.94
178.17,73.84
246.36,72.57
248.05,71.62
252.46,73.36
253.21,73.56
254.98,73.68
257.72,73.68
258.71,73.6
265.07,70.03
269.27,70.0
274.85,66.18
286.88,63.24
294.03,62.97
312.82,61.67
316.65,61.22
318.13,61.6
329.76,61.35
352.09,60.56
354.08,59.36
354.2,59.54
357.84,58.07
365.51,56.97
368.27,57.13
370.08,56.55
374.5,56.5
378.02,56.15
380.5,56.05
381.75,57.39
384.89,58.38
389.24,58.04
392.47,56.99
393.36,54.64
408.2,56.0
421.16,57.11
443.26,58.88
460.3,59.55
467.77,60.43
488.68,61.15
503.26,61.48
520.55,61.84
540.37,61.58
555.9,61.79
563.78,61.75
565.49,60.72
565.8,60.86
569.17,60.81
569.22,60.69
572.75,62.44
575.06,63.01
576.6,63.95
578.79,63.82
600.59,64.33
603.4,65.78
686.89,69.44
719.17,69.3
720.09,70.61
728.73,70.2
753.76,70.21
757.53,70.8
759.29,72.08
762.96,75.39
771.77,79.22
779.27,80.83
783.59,80.55
796.75,85.99
796.77,85.97
804.44,85.61
807.98,87.96
809.35,88.7
809.6,88.94
