x,y
146.58,50.89
150.88,50.74
154.84,50.66
157.59,50.68
158.6,50.79
158.72,50.77
159.05,50.76
159.9,50.77
162.94,50.74
170.05,50.42
171.3,48.88
172.23,47.58
183.12,39.78
184.26,39.33
187.09,37.33
187.88,37.1
188.51,35.98
205.81,35.76
207.87,36.46
213.79,36.01
215.94,36.28
217.98,36.86
219.86,36.93
221.07,37.18
222.35,37.46
225.58,37.66
227.97,38.05
231.05,38.18
233.87,38.52
236.47,38.16
238.23,38.09
240.39,38.45
243.47,38.69
245.77,38.79
249.6,38.74
252.71,38.84
255.66,38.75
256.71,39.36
258.99,39.28
262.06,39.14
264.64,39.53
267.92,38.98
270.3,38.77
272.85,38.79
276.15,38.18
277.77,37.52
280.46,37.31
284.45,37.1
287.4,37.13
289.03,37.0
291.18,36.92
293.81,37.17
295.82,37.18
297.74,37.19
300.02,37.16
301.26,37.01
302.01,37.01
303.35,37.08
305.39,37.33
308.29,37.37
308.44,37.38
308.98,37.18
311.17,37.05
312.64,37.17
314.84,37.21
315.97,37.02
319.14,37.16
319.68,37.33
323.01,37.53
325.71,37.23
328.02,37.33
328.81,37.32
333.96,37.31
337.85,37.32
343.15,37.54
347.51,37.63
351.06,37.36
355.19,37.88
362.08,37.83
365.52,37.82
368.96,38.09
373.12,38.31
375.22,38.27
378.15,38.28
382.99,38.02
387.76,37.87
391.49,37.46
393.98,37.31
396.52,37.2
402.58,37.31
409.55,37.57
410.56,38.46
412.01,38.69
417.77,39.63
419.45,39.01
421.54,39.09
421.57,40.13
422.46,40.04
427.07,40.28
430.84,40.36
433.74,40.46
441.73,45.62
444.14,45.81
450.95,50.28
453.96,50.21
459.49,47.11
461.33,47.07
467.17,46.98
468.35,46.84
470.28,47.73
473.35,49.45
475.95,50.22
478.15,50.25
479.87,50.3
481.75,50.57
483.03,51.15
485.33,51.97
487.35,52.32
490.57,52.47
495.26,52.43
496.08,52.38
496.45,52.47
496.74,52.43
496.86,51.95
497.37,52.19
497.45,52.44
497.7,52.45
498.43,54.08
