x,y
21.8,15.08
31.75,14.99
31.88,15.26
34.19,15.5
36.67,17.03
42.07,16.95
43.92,15.5
46.57,15.59
51.12,17.78
56.83,17.91
56.83,17.67
56.83,17.67
57.46,17.67
66.94,13.26
79.24,13.37
91.78,12.98
105.48,12.51
119.14,12.32
136.01,12.13
139.86,12.12
149.78,7.17
164.18,7.25
175.99,7.08
184.12,7.32
184.12,7.32
195.27,9.42
200.9,7.72
207.87,6.42
226.83,5.87
246.58,5.9
261.87,6.57
276.2,7.81
291.46,7.95
303.52,8.07
319.03,8.15
337.13,7.91
355.79,7.98
375.14,7.71
397.16,7.46
419.34,6.74
430.43,6.36
441.58,5.78
450.31,3.23
456.46,4.16
462.42,4.85
477.44,4.48
483.44,1.78
495.44,0.78
507.03,-0.27
519.03,0.73
531.03,1.33
539.42,1.94
556.43,1.88
571.76,1.11
585.22,-0.12
597.22,0.28
609.22,0.88
621.86,5.15
636.59,7.56
650.9,8.81
668.25,8.35
681.38,8.41
695.49,10.44
712.37,10.1
728.21,12.58
745.97,14.06
762.63,14.21
778.68,14.37
791.19,13.83
797.86,11.38
801.37,11.28
801.72,12.0
801.72,12.31
801.72,12.0
802.68,12.03
814.97,18.27
816.66,18.16
824.91,18.22
831.95,18.01
