x,y
0.0,1.88
18.2,1.94
18.2,2.14
33.4,9.56
38.85,9.52
38.85,9.67
38.85,9.52
39.4,9.6
49.3,4.7
57.3,1.09
64.12,1.22
68.95,6.73
79.0,11.2
98.39,12.85
113.45,13.08
128.32,8.34
149.0,5.14
170.0,4.54
184.75,4.14
195.58,4.32
205.57,4.16
224.27,1.63
230.21,1.46
231.79,2.48
233.44,2.58
235.0,2.58
238.06,1.52
248.0,1.21
254.8,1.13
267.18,0.08
286.6,-1.37
293.48,-2.32
298.48,-2.7
306.48,-3.34
341.12,-4.72
354.61,-5.3
357.61,-4.6
366.61,-5.28
371.27,-5.8
376.27,-5.6
393.27,-5.99
421.17,-6.09
460.17,-6.25
482.4,-6.36
505.43,-6.73
532.75,-7.17
557.82,-7.59
565.51,-7.8
586.51,-7.84
604.97,-7.6
609.97,-6.8
609.97,-7.9
617.97,-5.96
623.38,-5.6
635.38,-1.9
645.38,-1.5
648.35,-0.8
653.35,-0.4
657.85,0.46
672.45,0.85
705.95,1.25
710.6,2.48
711.9,2.51
715.7,5.62
718.9,5.62
718.9,5.75
718.9,5.62
719.01,6.08
719.01,5.64
719.57,2.52
719.57,6.08
723.37,2.37
723.37,2.52
730.0,2.37
730.0,2.52
731.0,2.52
