x,y
-45.32,4.1
-37.1,4.06
-30.32,4.0
-30.31,7.5
-28.11,8.27
-24.39,8.22
-19.72,10.94
-15.62,10.85
-12.35,10.94
-11.52,11.3
-9.01,11.37
-8.18,11.22
-7.0,11.26
-7.0,11.45
-7.0,11.3
-5.61,11.45
-5.6,11.61
-5.42,11.61
-5.41,11.43
-4.23,11.37
-3.42,10.96
-2.59,10.61
-1.73,9.85
-0.97,9.8
-0.13,9.41
-0.12,9.05
0.0,8.87
0.66,8.64
1.48,8.28
2.31,7.91
3.12,7.56
3.84,7.22
4.59,7.2
4.6,6.89
5.41,6.54
6.23,6.32
6.68,6.15
7.1,6.04
7.49,5.89
7.83,5.74
8.24,5.55
8.63,5.22
9.42,4.93
10.24,4.63
11.09,4.27
11.94,3.96
12.7,3.97
12.71,3.65
13.54,3.33
13.55,3.63
14.34,3.33
14.35,3.18
24.6,2.78
27.69,2.83
30.29,2.78
36.44,2.81
48.31,2.87
67.7,3.12
75.64,3.32
88.0,3.66
96.17,3.6
104.48,3.56
112.69,2.76
120.08,2.93
131.29,2.74
141.38,2.41
148.54,1.88
149.54,1.28
157.63,1.06
164.54,0.68
173.1,0.47
182.26,0.22
191.17,0.15
208.33,0.1
217.41,0.05
226.54,-0.08
236.69,-0.1
245.71,-0.15
255.02,-0.23
257.48,-0.51
261.77,-0.63
265.51,-0.74
268.35,-1.04
273.0,-1.15
277.31,-1.24
281.63,-1.25
284.51,-1.14
288.61,-0.93
292.39,-0.69
296.8,-0.97
301.03,-1.18
304.12,-1.38
309.03,-1.39
312.13,-1.43
316.99,-2.1
320.24,-2.18
324.95,-2.43
328.0,-2.82
332.84,-2.59
335.94,-2.55
340.74,-2.64
343.84,-2.62
348.6,-2.42
353.16,-2.46
357.5,-2.23
360.18,-2.19
364.3,-2.16
368.22,-2.09
372.07,-2.03
376.14,-1.95
380.23,-1.92
384.52,-1.92
388.75,-1.72
392.81,-1.81
396.73,-1.74
400.69,-1.56
404.87,-1.54
407.71,-1.45
411.86,-1.11
416.07,-0.99
420.32,-1.04
424.68,-0.95
427.13,-0.75
432.68,-1.15
436.02,-1.51
439.24,-1.56
444.05,-1.6
448.52,-2.03
452.91,-2.3
455.76,-2.43
460.05,-2.32
464.24,-2.12
468.53,-2.63
472.8,-2.82
475.58,-3.02
479.76,-3.41
483.76,-3.68
488.07,-4.05
492.35,-4.32
496.72,-4.52
499.71,-4.81
503.68,-4.89
507.88,-4.71
511.96,-4.81
515.97,-3.98
520.35,-3.88
524.53,-3.88
527.5,-3.9
531.89,-4.18
537.38,-4.33
540.45,-4.43
543.26,-4.52
547.47,-4.31
551.47,-4.32
555.54,-4.4
559.74,-4.44
563.93,-4.4
567.97,-4.55
571.95,-4.65
575.51,-4.75
580.1,-4.44
583.28,-4.65
586.76,-4.56
590.78,-4.54
595.08,-4.37
598.24,-4.34
602.77,-4.14
606.75,-4.06
610.67,-3.95
614.5,-3.82
618.15,-3.54
621.83,-3.32
626.51,-3.1
629.76,-3.09
632.81,-3.07
637.01,-2.58
640.31,-1.91
643.91,-2.19
648.34,-1.82
651.58,-1.81
655.31,-1.62
660.02,-1.42
664.31,-1.3
667.2,-1.31
670.58,-0.94
677.68,-0.46
686.47,-0.62
695.39,-0.88
704.23,0.14
715.17,0.22
724.38,0.31
735.41,0.42
744.58,0.53
753.97,0.61
762.06,0.74
771.13,0.78
780.24,0.81
790.36,0.88
801.47,0.94
810.56,1.08
823.68,1.13
836.11,1.2
845.29,1.32
854.46,1.41
861.3,1.58
870.52,1.5
881.68,1.44
892.73,1.21
901.16,0.65
912.33,0.66
925.41,0.67
936.61,0.63
945.57,0.78
954.43,0.86
963.32,0.97
975.72,1.28
988.36,1.62
997.54,1.51
1006.63,1.44
1015.74,1.4
1024.82,1.35
1033.95,1.22
1045.41,1.1
1054.62,1.41
1062.7,2.18
1075.4,3.12
1084.54,3.08
1094.89,2.9
1108.3,0.22
1117.47,0.51
1126.52,1.21
1135.74,1.65
1144.82,2.03
1156.6,3.1
1167.1,0.41
1169.52,0.83
1175.03,2.91
1184.76,0.51
1193.65,0.33
1202.54,0.24
1209.77,0.08
1216.83,-0.02
1231.83,0.38
1233.13,0.98
1235.45,2.45
1245.01,2.38
1245.8,2.37
1246.74,2.37
1253.64,3.66
1253.64,3.81
1253.64,3.66
1257.17,4.14
1259.94,4.21
1263.41,4.63
1268.13,3.73
1269.34,3.67
1270.27,3.64
1271.16,3.62
1273.76,3.74
1276.61,3.54
1288.61,2.94
1292.24,2.59
1295.58,3.65
1300.21,2.54
1309.37,3.1
1318.42,3.12
1343.27,3.05
1365.31,3.15
1380.69,3.16
1398.48,3.01
1405.59,3.48
1412.45,3.5
1420.67,3.03
1435.26,3.14
1465.72,3.35
1483.45,3.3
1496.54,3.65
1502.31,3.08
1503.39,3.25
1503.41,3.78
1504.03,3.78
1504.27,3.3
1523.31,3.34
1544.68,3.31
1556.49,3.25
1604.64,3.54
1606.1,3.08
1608.41,3.13
1661.18,3.08
1661.84,3.51
1670.28,3.4
1687.31,3.3
1706.56,3.57
1716.48,3.37
1725.47,3.39
1734.56,3.69
1745.29,3.9
1748.16,4.14
1750.49,8.47
1750.7,11.78
1751.5,11.78
1751.63,6.48
1758.12,6.09
1759.73,5.91
1765.54,5.65
