x,y
-40.7,4.43
-24.7,4.62
-11.7,11.08
-6.33,11.08
-6.33,11.08
-6.33,11.26
-5.9,11.08
0.0,8.08
14.3,1.24
24.0,1.24
114.1,2.88
115.45,3.03
127.0,2.4
132.46,1.47
134.5,1.2
153.8,1.14
155.71,0.42
156.16,-0.98
156.53,-1.0
159.78,-1.01
163.03,-0.02
169.5,-0.51
170.38,-0.63
180.92,-0.76
191.46,-1.62
201.33,-1.24
211.2,-2.22
218.61,-2.47
237.46,-2.86
247.32,-3.14
257.18,-3.37
279.69,-3.23
301.51,-3.14
307.13,-2.37
312.76,-2.35
322.1,-2.41
334.69,-2.64
363.81,-2.57
376.53,-2.56
389.53,-2.51
392.17,-2.49
394.81,-2.41
397.44,-2.52
400.08,-2.44
404.23,-2.37
408.37,-2.47
412.52,-2.49
428.24,-2.35
443.03,-2.4
454.4,-2.44
469.08,-2.68
481.14,-2.38
502.36,-2.41
515.87,-2.48
536.1,-2.56
566.16,-2.96
583.12,-2.89
597.2,-3.05
609.91,-3.01
619.0,-3.08
630.17,-2.99
639.25,-2.82
646.89,-2.75
654.44,-2.88
667.48,-2.86
681.26,-2.68
688.08,-2.24
694.89,-2.05
704.48,-1.63
714.07,-1.43
729.43,-1.18
741.37,-1.11
751.28,-1.09
772.4,-1.07
790.16,-1.05
801.17,-1.03
816.29,-1.01
826.59,-0.99
837.49,-0.97
851.29,-0.95
865.8,-0.93
871.07,-0.91
884.37,-0.89
893.53,-0.87
909.01,-0.85
917.25,-0.83
923.38,-0.81
929.5,-0.79
941.27,-0.77
949.6,-0.75
957.45,-0.32
1000.08,-0.3
1039.6,-0.13
1070.45,-0.44
1083.93,-0.04
1098.84,-0.01
1123.62,0.51
1125.81,1.02
1128.41,2.04
1130.66,2.02
1138.77,2.1
1148.57,3.15
1148.57,2.9
1148.57,2.9
1168.2,2.97
1171.6,3.03
1173.2,3.44
1184.2,3.48
1186.0,2.28
1190.08,11.19
1190.08,7.75
1190.58,11.19
1190.58,2.5
