x,y
0.0,3.36
0.0,3.26
52.0,1.3
64.0,0.74
88.0,0.63
190.0,0.73
190.0,0.53
192.0,1.91
210.0,2.03
212.0,2.53
216.0,2.55
224.0,-0.17
224.0,-0.77
250.0,-0.87
268.0,-0.87
284.0,-0.97
296.0,-1.37
312.0,-1.17
336.0,-0.17
342.0,1.21
494.0,1.41
502.0,1.59
504.0,0.36
524.0,-3.36
654.0,-3.46
714.0,-4.36
784.0,-5.86
834.0,-4.46
874.0,-6.86
918.0,-7.36
1014.0,-6.36
1074.0,-4.36
1114.0,-4.36
1164.0,-2.86
1204.0,-2.86
1234.0,-3.66
1254.0,-4.76
1260.0,-0.36
1266.0,0.91
1272.0,2.91
1274.0,2.91
1314.0,3.09
1314.0,3.5
