x,y
0.0,59.88
0.0,59.79
6.65,59.47
21.83,59.54
36.03,59.74
41.98,59.76
42.56,58.05
68.57,57.11
99.14,58.31
100.3,58.06
120.81,57.95
125.5,58.14
132.0,57.56
148.0,57.58
149.0,58.4
285.0,59.04
294.21,59.63
298.59,59.53
300.5,59.33
309.94,59.41
310.64,58.69
321.43,58.57
334.04,57.76
352.89,57.0
354.92,54.57
357.31,54.59
366.15,53.12
372.15,53.13
381.24,53.23
385.64,51.24
399.37,50.76
399.86,52.31
413.43,53.51
429.77,53.5
447.43,53.22
451.15,51.76
466.22,51.51
490.21,51.71
511.79,51.47
532.84,51.62
552.34,51.58
570.87,51.48
592.07,50.9
594.63,50.39
598.52,50.24
602.0,50.16
606.19,49.89
610.39,49.61
616.98,49.51
626.09,49.37
635.36,49.32
648.9,49.24
661.85,49.32
673.73,49.24
675.38,49.3
677.04,49.4
678.69,49.47
680.35,49.42
682.0,49.41
683.66,49.46
685.31,49.54
686.91,49.62
688.5,49.41
690.1,49.69
691.7,49.57
693.29,49.61
694.89,49.39
705.97,48.92
716.96,48.78
729.44,48.34
742.91,48.23
753.97,48.01
768.36,47.79
786.02,47.62
798.96,47.46
816.17,47.63
833.05,48.05
851.12,48.47
866.95,48.6
884.38,48.89
898.98,48.87
910.11,49.18
928.71,49.41
939.69,49.55
961.87,49.51
976.25,49.29
987.98,49.16
1000.41,49.15
1012.92,49.5
1025.66,49.84
1035.22,49.94
1055.42,49.75
1070.92,50.02
1079.47,49.73
1091.48,49.67
1102.77,49.56
1109.12,49.77
1115.75,50.09
1120.45,50.18
1129.76,50.26
1130.61,50.24
1131.47,50.26
1132.32,50.23
1133.02,50.21
1133.72,50.23
1134.42,50.24
1135.12,50.28
1135.82,50.36
1136.52,50.35
1138.45,50.82
1141.63,51.19
1146.16,54.07
1148.17,55.25
1150.53,57.01
1151.37,58.03
1151.51,57.88
1152.27,58.18
1152.27,58.18
1156.26,59.33
1162.2,58.53
1162.2,58.53
1172.02,58.03
1188.23,58.0
1197.78,59.72
1197.78,59.72
1204.13,59.6
1221.55,59.59
1230.15,59.47
1233.43,58.46
1233.65,59.33
1259.87,58.61
1276.03,58.69
1284.07,59.01
1284.07,59.01
1313.56,59.83
1313.98,59.84
1340.11,59.81
1346.13,59.69
1346.45,58.42
1369.16,58.58
1385.49,58.83
1385.83,60.24
1390.9,60.43
1390.9,60.63
