x,y
0.0,73.74
36.0,73.42
40.0,75.67
62.0,75.77
135.7,74.78
152.1,74.51
156.0,71.19
181.6,71.76
184.4,74.3
192.9,73.54
196.8,71.08
200.0,72.79
213.0,71.9
214.6,71.9
219.8,73.51
247.9,74.66
249.3,74.34
253.7,71.8
304.2,71.63
306.0,71.94
309.5,69.95
311.1,69.6
313.6,68.16
317.9,68.03
320.0,69.34
320.8,69.34
321.2,69.6
322.9,69.51
323.5,69.2
328.7,68.79
329.6,69.41
331.4,69.3
342.5,67.8
348.3,66.93
362.8,66.02
375.1,64.0
388.6,62.97
395.8,63.28
403.3,62.71
412.5,62.42
418.0,63.01
424.8,62.4
432.0,61.95
433.2,61.86
439.0,62.74
454.5,63.1
464.5,63.09
466.8,63.29
472.5,62.59
477.2,62.48
480.4,62.24
492.2,62.16
499.0,61.96
504.5,61.7
508.9,61.82
517.2,61.9
521.7,62.43
533.3,63.11
543.3,61.93
548.0,61.15
552.2,61.53
556.2,60.87
559.5,60.4
562.6,59.88
564.6,58.58
569.5,59.32
571.5,60.22
575.5,61.4
579.1,63.99
585.4,64.82
591.8,64.26
595.0,66.88
597.9,65.02
619.7,64.79
636.1,65.09
659.4,65.85
681.7,66.28
686.6,69.16
712.9,68.96
714.2,70.48
753.5,69.45
755.5,70.04
756.9,70.39
793.4,86.34
803.6,85.52
808.2,88.41
809.6,88.69
809.6,88.94
