x,y
0.0,8.4
21.62,8.3
28.59,6.31
34.41,6.16
42.38,8.27
48.96,7.99
66.0,7.65
68.13,6.9
76.36,7.79
101.05,7.55
104.12,6.61
107.53,6.39
110.56,5.43
113.05,5.72
115.76,7.47
118.67,7.12
121.95,7.0
123.5,6.69
153.88,7.66
177.29,7.96
177.57,7.34
187.21,7.68
187.28,7.84
195.63,7.98
206.12,13.18
206.53,13.4
206.58,13.22
212.06,13.5
212.06,13.5
212.06,13.68
212.63,13.4
224.63,7.5
228.67,7.47
238.68,2.11
242.72,1.14
244.34,1.12
251.06,2.08
257.34,1.68
258.17,1.5
258.21,1.14
261.73,0.75
265.79,0.62
266.43,0.54
267.68,0.49
275.74,0.41
282.69,0.26
287.26,0.24
292.25,0.11
298.79,0.04
300.91,-0.02
303.03,-0.05
305.15,-0.1
309.17,-0.16
313.2,-0.19
320.8,-0.45
325.37,-0.63
329.38,-0.3
333.38,0.07
339.73,0.1
347.68,0.17
353.36,0.46
359.91,0.64
368.08,0.57
374.95,0.55
381.85,0.52
389.8,0.41
396.34,0.3
400.22,0.41
401.28,0.94
402.03,1.52
410.97,5.92
411.03,7.13
423.4,7.39
434.47,2.65
438.99,2.76
447.95,4.17
454.46,1.41
469.46,1.46
473.74,4.07
475.15,2.07
480.23,3.37
484.02,4.21
487.13,2.22
499.87,1.47
515.49,1.65
523.38,4.91
530.7,4.81
540.65,5.01
550.72,8.95
554.42,9.06
566.38,8.23
575.31,8.45
584.49,8.3
593.67,9.32
599.15,9.52
608.76,9.65
609.51,9.16
618.66,8.92
627.37,8.88
637.06,9.15
642.52,9.04
643.41,7.18
650.87,6.85
652.57,6.16
655.89,6.03
661.59,7.92
666.55,7.97
678.28,8.1
688.24,8.5
693.73,8.55
697.06,8.44
706.58,8.72
712.57,8.78
719.56,8.82
729.01,9.04
736.99,9.12
741.35,9.12
741.35,9.33
741.35,9.12
741.41,13.53
742.11,13.53
742.16,10.03
742.22,9.3
745.65,9.29
745.74,9.52
745.9,9.53
746.01,9.3
754.53,9.17
