x,y
225.96,7.17
229.4,6.92
231.18,6.29
232.15,6.27
242.04,6.52
242.19,6.66
244.54,6.95
244.65,7.83
244.8,7.82
245.07,7.04
254.65,7.3
254.79,7.44
259.7,7.69
259.91,12.19
263.79,12.36
263.79,12.21
263.79,12.21
264.35,12.12
269.49,9.48
273.67,7.11
276.57,7.0
276.63,6.85
284.69,6.83
284.85,6.94
289.71,6.96
295.52,6.96
295.61,6.88
303.66,6.82
303.75,6.93
304.75,6.88
311.97,6.89
319.67,6.78
321.81,6.52
329.52,6.36
337.95,6.23
345.69,6.09
352.38,6.01
356.54,5.97
364.37,5.75
372.3,5.62
380.34,5.56
385.95,5.52
392.34,5.54
399.69,5.48
406.69,5.38
412.03,5.29
419.6,5.16
427.28,5.11
434.93,5.06
442.67,4.95
451.35,4.9
460.29,4.81
469.61,4.8
479.13,4.99
485.75,5.01
492.61,4.95
497.93,4.84
502.89,4.69
505.1,4.36
508.2,4.02
509.56,1.58
512.56,0.62
513.51,-0.33
513.86,-1.08
515.18,-2.45
521.34,-2.46
527.52,-3.4
533.78,-3.35
540.24,-3.58
546.67,-3.79
553.15,-3.87
559.72,-3.64
566.34,-3.29
572.79,-3.41
579.27,-3.22
585.75,-3.15
592.02,-3.1
598.54,-3.08
604.98,-3.17
611.59,-3.28
618.12,-2.8
624.71,-2.98
631.12,-2.48
637.57,-2.24
644.12,-1.63
650.7,-1.66
656.86,-1.37
663.02,-0.72
667.09,-0.45
669.43,-0.55
674.33,0.69
678.86,2.97
681.78,3.13
683.17,3.52
686.79,3.76
692.98,3.94
694.4,3.58
698.46,3.0
703.07,2.56
703.74,2.51
709.63,2.79
714.22,3.92
717.31,5.43
721.02,5.47
727.98,5.6
728.12,5.44
729.24,5.41
729.42,6.05
730.48,6.18
731.2,6.18
735.4,6.35
742.62,6.49
752.66,6.73
759.4,6.88
760.45,7.09
766.15,7.18
766.22,6.98
776.72,7.15
782.98,7.37
788.67,7.46
792.63,7.66
796.65,7.67
797.32,7.6
798.94,7.7
800.84,7.67
810.53,12.22
811.05,12.46
811.05,12.61
811.05,12.46
816.52,12.3
822.9,8.82
831.4,8.83
832.72,7.7
834.37,7.67
834.44,7.4
844.23,7.26
