x,y
0.0,41.11
0.0,40.92
3.6,40.92
15.5,40.98
34.1,29.05
72.4,28.36
105.0,28.45
129.6,28.35
131.9,28.2
137.6,26.88
141.4,26.4
155.1,26.35
170.2,26.39
196.0,26.64
210.0,26.2
231.8,25.94
260.0,25.7
289.2,25.64
300.0,25.45
319.2,25.34
345.2,26.0
357.6,26.14
372.1,26.4
381.3,26.44
395.8,26.3
402.8,26.4
406.5,26.96
455.0,27.11
473.9,26.97
479.2,26.64
484.4,26.24
507.4,26.04
535.5,25.69
559.6,25.69
571.4,25.74
576.2,26.34
577.2,26.94
579.3,27.74
580.8,27.82
588.6,31.83
590.2,32.94
592.4,33.25
593.0,32.86
641.4,32.69
641.4,32.97
676.2,33.27
676.2,32.69
699.9,33.32
