x,y
0.0,14.36
0.0,14.59
14.0,14.22
16.0,14.1
34.0,14.06
35.0,14.37
43.0,11.79
44.5,11.11
74.0,10.61
86.0,11.63
90.0,12.81
100.0,12.06
110.0,12.34
116.0,13.81
180.0,13.92
272.0,14.22
280.0,13.82
286.0,12.02
302.0,10.32
306.0,8.42
317.0,8.02
355.0,9.52
418.0,8.22
460.0,7.96
500.0,9.02
508.0,11.42
512.0,13.83
627.0,12.43
680.0,13.13
680.0,14.33
798.5,14.43
825.0,13.53
832.0,12.03
840.0,9.13
900.0,5.53
903.0,4.35
907.0,5.55
913.0,6.3
915.5,5.63
924.0,4.63
945.0,4.13
964.0,3.13
980.0,3.63
989.5,5.63
992.0,9.22
995.5,9.3
1016.5,9.51
1016.5,9.41
1018.0,9.77
1027.5,9.92
1032.0,13.36
1035.0,13.45
1060.0,13.45
1066.0,15.9
1070.0,15.9
1073.0,14.35
1136.0,13.61
1206.5,13.85
1278.0,13.74
1313.0,13.56
1322.0,10.8
1324.0,10.79
1330.0,13.44
1333.0,13.42
1336.5,13.27
1339.0,12.59
1362.0,12.03
1362.0,13.31
1363.5,13.31
1366.0,11.11
1367.0,10.71
1373.0,10.81
1378.0,11.11
1383.0,13.35
1386.0,13.35
1386.0,12.59
1386.0,12.65
1408.0,12.23
1408.0,13.43
1416.3,14.07
1416.3,13.88
1416.3,13.88
