x,y
0.0,8.89
92.5,8.54
128.5,8.71
161.5,7.57
161.5,6.57
206.0,7.2
212.6,7.68
223.19,7.1
233.25,7.11
235.13,6.38
235.82,6.29
237.09,6.31
246.0,6.47
247.34,6.77
261.66,6.75
261.66,12.2
262.36,12.2
262.36,11.19
262.98,11.16
263.73,11.16
266.06,5.97
274.91,6.42
306.69,6.24
339.71,5.92
344.93,5.82
360.34,5.32
395.07,4.66
416.12,4.61
448.01,4.23
470.69,3.85
498.38,3.27
527.77,3.27
529.84,3.21
535.39,-0.46
542.09,-0.8
549.09,-0.27
552.82,-1.0
558.82,-0.8
564.12,-1.4
570.12,-0.93
573.12,-1.3
578.12,-1.8
580.12,-2.65
588.97,-3.2
598.97,-3.16
615.26,-3.08
630.99,-3.03
642.6,-3.2
645.6,-2.61
657.79,-2.8
661.79,-3.39
664.14,-3.4
669.14,-3.0
681.14,-2.86
685.67,-2.6
693.67,-1.8
700.67,-1.02
706.87,2.19
708.99,1.16
714.22,2.66
716.29,2.1
725.46,2.49
728.95,2.65
732.13,6.04
776.2,7.29
800.99,7.53
810.73,12.37
811.19,12.37
811.19,12.63
811.19,12.37
819.08,12.38
831.62,6.92
846.29,6.87
846.47,7.45
846.81,7.53
846.89,5.7
